ticker,profit_factor,profit_factor_diag,num_trades,ticker_score,total_return,maxdd,eligible,trend_metric
NEM,0.0,0.0,0,,0.0,0.0,False,6.140917861107992
CIEN,0.0,0.0,0,,0.0,0.0,False,6.852028129972126
PRAX,0.0,0.0,0,,0.0,0.0,False,5.115959235697032
AZTA,0.0,0.0,1,,-0.06098363651748073,-0.06098363651748073,False,1.4827503254461059
STI,0.0,0.0,0,,0.0,0.0,False,3.0621072649811114
SATS,0.0,0.0,0,,0.0,0.0,False,9.167314870429161
METC,0.0,0.0,0,,0.0,0.0,False,3.039693818891401
SNDK,0.0,0.0,0,,0.0,0.0,False,4.979448545678031
CLS,0.0,0.0,0,,0.0,0.0,False,5.0655331525218426
MRNA,0.0,0.0,1,,-0.0011996400000000573,-0.0011996400000000573,False,1.3777573401485852
ASML,0.0,0.0,0,,0.0,0.0,False,6.340753457614346
BLBX,100.0,5.0,1,,0.22942055280597295,-0.0006000000000000449,False,2.781345435445376
STX,0.0,0.0,0,,0.0,0.0,False,5.740682390389665
EOSE,0.0,0.0,0,,0.0,0.0,False,3.5893536187735533
IREN,0.0,0.0,0,,0.0,0.0,False,4.230355378137307
TERN,0.0,0.0,0,,0.0,0.0,False,5.590819126160532
XPEV,0.0,0.0,0,,0.0,0.0,False,1.3818442021389645
BITF,0.0,0.0,0,,0.0,0.0,False,3.3914464177949677
NFLX,0.0,0.0,0,,0.0,0.0,False,8.995682005818392
