Open,High,Low,Close,Volume
25.44,25.51,25.38,25.46,8157.0
25.46,26.03,25.36,25.8,263293.0
25.78,26.64,25.635,26.63,482422.0
26.645,27.02,26.37,26.48,388820.0
26.47,26.79,26.415,26.66,304088.0
26.62,26.73,26.35,26.56,177773.0
26.56,26.76,26.56,26.62,142615.0
26.61,26.66,26.34,26.37,422456.0
26.4,26.46,26.35,26.43,9052.0
26.71,26.73,26.63,26.63,21844.0
26.64,27.405,26.575,27.07,291248.0
27.06,27.22,26.08,26.16,435984.0
26.16,26.32,25.9,26.235,305431.0
26.215,26.5,26.17,26.4,165117.0
26.405,26.68,26.405,26.64,205397.0
26.64,26.76,26.54,26.73,163832.0
26.725,26.78,26.535,26.63,214660.0
26.62,26.65,26.55,26.55,7816.0
27.13,27.26,27.08,27.24,34687.0
27.22,27.505,26.66,26.83,244922.0
26.88,27.55,26.72,27.32,312106.0
27.325,27.725,27.3,27.6,207343.0
27.61,27.66,27.36,27.45,138241.0
27.46,27.64,27.44,27.62,90844.0
27.615,27.65,27.39,27.44,123991.0
27.435,27.56,27.2,27.42,289867.0
27.39,27.42,27.36,27.37,3303.0
26.82,26.89,26.74,26.81,14140.0
26.81,27.1,26.56,26.94,89254.0
26.9,27.27,26.75,26.96,118860.0
26.975,27.33,26.885,27.105,70875.0
27.13,27.36,27.1,27.36,61104.0
27.3,27.43,27.2,27.36,63745.0
27.35,27.54,27.3,27.38,61103.0
27.35,27.41,27.11,27.26,158877.0
27.25,27.26,27.22,27.22,1382.0
26.72,26.8,26.68,26.68,9470.0
26.66,26.78,25.33,25.535,317692.0
25.555,26.27,25.48,26.16,253859.0
26.12,26.45,26.12,26.42,136385.0
26.38,26.59,26.29,26.585,197638.0
26.57,26.765,26.565,26.6,86279.0
26.61,26.74,26.54,26.6,39707.0
26.61,26.67,26.295,26.48,240262.0
26.43,26.43,26.43,26.43,360.0
27.8,28.09,27.67,28.06,57508.0
28.07,28.435,27.625,27.65,236040.0
27.66,28.14,27.53,27.54,268439.0
27.55,27.88,27.5,27.77,198768.0
27.74,27.81,27.3,27.4,179717.0
27.38,27.72,27.21,27.72,106291.0
27.725,27.825,27.37,27.37,134561.0
27.36,27.57,27.25,27.255,322053.0
27.21,27.21,27.08,27.08,6425.0
26.49,26.76,26.49,26.65,19614.0
26.65,26.65,25.67,25.93,245133.0
25.91,26.08,25.63,25.75,217761.0
25.81,26.0,24.92,25.88,311069.0
25.88,26.29,25.73,26.29,137094.0
26.27,26.39,26.16,26.185,114795.0
26.16,26.55,26.12,26.55,92533.0
26.55,27.04,26.55,27.015,446095.0
26.94,26.96,26.9,26.9,11295.0
26.85,27.07,26.82,27.06,24876.0
27.04,27.12,26.42,26.97,179235.0
27.065,27.28,26.76,27.24,336734.0
27.24,27.51,27.2,27.47,262047.0
27.46,27.5,27.24,27.44,233833.0
27.45,27.49,27.27,27.42,165344.0
27.42,27.42,27.23,27.285,139792.0
27.3,27.4,27.22,27.315,449818.0
27.29,27.4,27.29,27.32,4168.0
27.48,27.5,27.42,27.48,8184.0
27.49,27.89,27.39,27.46,138942.0
27.54,27.55,26.76,27.15,259423.0
27.175,27.52,27.05,27.49,123364.0
27.49,27.49,27.1,27.17,119647.0
27.18,27.35,27.05,27.25,98513.0
27.26,27.36,27.17,27.24,83975.0
27.24,27.5,27.24,27.335,168158.0
27.4,27.4,27.32,27.32,451.0
27.61,27.62,27.43,27.43,12696.0
27.43,28.15,27.38,28.1,243583.0
28.12,28.49,27.92,28.27,350406.0
28.275,28.29,27.95,27.97,177379.0
27.96,28.07,27.73,27.96,135986.0
28.0,28.13,27.94,27.97,95412.0
27.96,28.12,27.9,27.92,110651.0
27.92,27.92,27.45,27.45,367045.0
27.42,27.42,27.1,27.11,4000.0
26.73,26.96,26.7,26.96,13262.0
26.97,27.27,25.35,25.62,241656.0
25.59,26.34,25.4,26.22,239239.0
26.21,26.61,26.05,26.41,167745.0
26.42,26.47,25.92,26.15,220090.0
26.12,26.25,26.0,26.18,160601.0
26.23,26.565,26.0,26.565,157074.0
26.56,26.57,26.29,26.3,446946.0
26.2,26.2,24.97,24.97,11621.0
25.47,25.49,25.3,25.3,32540.0
25.31,25.685,24.89,24.89,228337.0
24.88,25.365,24.855,25.26,259941.0
25.29,25.8,25.16,25.67,236283.0
25.63,25.73,25.42,25.645,161092.0
25.645,25.69,25.39,25.57,153664.0
25.6,25.91,25.54,25.685,146287.0
25.685,25.8,25.49,25.8,406074.0
25.82,26.27,25.75,26.19,55632.0
25.89,25.94,25.58,25.66,14081.0
25.64,25.77,25.085,25.29,200787.0
25.29,25.72,24.95,25.68,291013.0
25.69,25.75,25.45,25.7,160769.0
25.685,25.685,25.34,25.47,147846.0
25.46,25.785,25.455,25.67,108524.0
25.67,25.77,25.45,25.635,113924.0
25.62,25.67,25.495,25.62,225013.0
25.25,25.28,25.19,25.2,8633.0
25.18,25.24,24.83,25.15,143226.0
25.16,25.455,25.12,25.225,168733.0
25.25,25.3,25.1,25.26,73365.0
25.3,25.55,25.26,25.465,89520.0
25.425,25.54,25.41,25.45,89371.0
25.48,25.605,25.45,25.52,88971.0
25.52,25.62,25.49,25.59,213681.0
25.62,25.62,25.62,25.62,1086.0
26.29,26.46,26.29,26.45,11640.0
26.42,26.86,26.3,26.85,300107.0
26.88,26.99,26.58,26.855,586629.0
26.83,26.9,26.52,26.84,160725.0
26.83,26.99,26.75,26.83,288713.0
26.83,26.97,26.8,26.91,224917.0
26.925,26.99,26.79,26.9,130568.0
26.9,26.98,26.78,26.97,395954.0
26.91,26.99,26.9,26.99,2718.0
27.66,27.7,27.53,27.53,14184.0
27.53,27.99,27.41,27.98,338726.0
27.98,28.145,27.55,27.55,316197.0
27.54,27.65,26.5,27.13,350439.0
27.14,27.2,26.85,27.18,208932.0
27.19,27.49,27.17,27.45,177068.0
27.44,27.6,27.32,27.485,139211.0
27.49,27.55,26.98,27.07,298450.0
27.13,27.29,27.13,27.24,2869.0
27.67,27.85,27.55,27.78,16976.0
27.8,27.92,27.58,27.76,303999.0
27.79,28.12,27.68,28.01,304613.0
28.005,28.03,27.48,27.82,220525.0
27.81,27.96,27.7,27.855,153087.0
27.86,28.05,27.85,28.01,137838.0
28.01,28.11,27.14,27.2,366224.0
27.18,27.68,26.94,27.64,569176.0
27.55,27.63,27.44,27.57,8224.0
26.82,27.04,26.82,27.03,13834.0
27.03,27.03,26.05,26.6,267936.0
26.6,26.71,25.74,25.825,323742.0
25.83,26.11,25.52,25.97,231580.0
25.97,26.17,25.87,25.9,144095.0
25.94,25.96,24.72,24.845,296192.0
24.8,25.2,24.2,24.99,227864.0
25.04,25.15,24.695,25.0,248585.0
25.01,25.06,24.76,24.94,15246.0
23.74,23.84,23.48,23.51,10344.0
23.51,23.86,22.76,23.03,365336.0
23.03,24.03,22.57,23.68,420230.0
23.635,24.5,23.51,24.5,197063.0
24.5,24.83,23.9,23.93,323711.0
23.95,24.03,23.66,23.77,276465.0
23.81,24.17,23.43,23.81,227137.0
23.78,24.32,23.72,24.08,524805.0
24.1,24.12,23.95,24.01,3432.0
24.71,24.76,24.53,24.73,12898.0
24.73,24.9,24.24,24.78,256533.0
24.79,24.99,24.56,24.74,243702.0
24.74,25.14,24.63,25.07,193221.0
25.1,25.17,24.97,25.09,161602.0
25.095,25.16,24.97,25.07,107834.0
25.08,25.145,25.0,25.0,149491.0
25.03,25.08,24.82,25.06,652405.0
25.08,25.19,25.08,25.19,6701.0
25.63,25.63,25.34,25.4,30684.0
25.43,25.67,25.05,25.49,140798.0
25.35,25.44,23.62,24.155,401991.0
24.11,24.33,24.0,24.255,188867.0
24.24,24.68,24.19,24.34,170433.0
24.33,24.85,24.3,24.78,116469.0
24.79,24.93,24.41,24.555,143126.0
24.55,24.81,24.47,24.52,343684.0
24.72,24.76,24.01,24.05,2845.0
24.06,24.06,23.81,23.93,10098.0
23.9,24.01,23.28,23.54,305822.0
23.54,23.88,22.95,23.31,414169.0
23.31,23.83,23.12,23.66,265656.0
23.67,23.81,23.4,23.6,229593.0
23.62,23.8,23.575,23.72,122964.0
23.77,24.01,23.77,23.92,174503.0
23.91,24.11,23.85,23.95,402275.0
23.98,24.09,23.92,24.04,7976.0
25.18,25.35,25.14,25.31,18999.0
25.31,25.85,25.31,25.81,302284.0
25.81,25.88,24.85,24.97,326326.0
24.99,25.3,24.91,25.2,253561.0
25.23,25.34,24.7,24.97,250104.0
24.99,25.1,24.79,24.93,212789.0
24.93,25.01,24.54,24.93,193653.0
24.97,25.14,24.72,25.14,500435.0
25.2,25.2,25.07,25.1,5100.0
25.36,25.38,25.18,25.26,7703.0
25.27,25.71,24.9,25.6,259142.0
25.625,25.79,25.4,25.6,402330.0
25.62,25.8,25.42,25.74,223893.0
25.75,25.82,25.55,25.64,195839.0
25.62,25.62,25.46,25.53,86550.0
25.54,25.75,25.54,25.72,116939.0
25.71,25.77,25.51,25.72,286497.0
25.74,25.79,25.74,25.75,788.0
25.66,26.11,25.66,26.01,20600.0
26.0,26.88,25.94,26.77,363763.0
26.77,26.85,26.45,26.49,275362.0
