Open,High,Low,Close,Volume
83.82,84.74,83.51,84.6,62544.0
84.55,85.07,84.52,84.63,122296.0
84.65,85.21,84.63,85.15,38809.0
85.17,85.35,84.49,84.73,76413.0
84.73,85.12,84.21,85.0,62306.0
84.985,85.065,84.8,84.845,57838.0
84.8,84.885,84.555,84.7,132573.0
85.76,87.18,85.6,86.47,127506.0
86.48,87.31,86.035,87.24,94048.0
87.2,87.615,86.755,87.02,79139.0
87.0,87.47,86.96,87.3,45244.0
87.33,87.68,87.31,87.4,87993.0
87.445,87.84,87.39,87.57,97951.0
87.57,87.9,87.48,87.84,149333.0
87.77,87.77,87.68,87.68,554.0
87.815,87.82,87.045,87.33,72261.0
87.37,88.04,87.22,87.98,74616.0
87.99,88.44,87.73,87.765,96660.0
87.775,88.11,87.775,87.83,28659.0
87.81,88.285,87.81,88.2,33017.0
88.195,88.38,87.915,88.26,24866.0
88.27,88.6,88.135,88.37,102429.0
88.21,88.21,88.2,88.2,627.0
87.615,87.91,87.13,87.53,98164.0
87.57,87.74,87.0,87.27,56768.0
87.27,87.53,87.16,87.37,36886.0
87.35,87.44,87.115,87.34,24284.0
87.335,87.465,87.07,87.25,23007.0
87.23,87.495,87.2,87.27,44173.0
87.25,87.39,86.7,87.02,104225.0
86.87,87.8,86.79,87.42,49248.0
87.38,88.24,87.33,88.05,44127.0
88.04,88.39,87.89,87.92,31936.0
88.0,88.37,87.9,88.34,24234.0
88.38,88.54,88.02,88.045,24260.0
88.03,88.2,87.785,87.86,28261.0
87.91,88.31,87.81,88.25,59837.0
88.12,88.12,88.1,88.1,400.0
88.51,88.685,87.69,87.8,43638.0
87.7,87.73,86.155,86.32,119915.0
86.365,86.675,86.195,86.49,43103.0
86.51,86.67,86.14,86.21,19612.0
86.22,86.59,86.17,86.415,26725.0
86.43,86.475,85.72,85.72,46089.0
85.71,86.145,85.71,85.925,174292.0
85.8,85.8,85.8,85.8,600.0
86.55,87.38,86.49,86.86,43504.0
86.82,87.675,86.82,87.51,49325.0
87.535,87.64,86.45,87.44,77472.0
87.415,87.745,87.255,87.65,26849.0
87.565,87.645,87.33,87.515,18012.0
87.515,87.645,87.25,87.515,70767.0
87.49,87.86,87.33,87.805,160815.0
87.88,88.18,87.88,87.93,1800.0
87.84,88.545,87.73,88.12,38164.0
88.18,88.63,88.15,88.45,64810.0
88.375,88.725,88.1,88.61,37035.0
88.64,88.65,87.9,88.11,82538.0
88.13,88.33,87.92,88.32,18081.0
88.295,88.295,88.06,88.22,27795.0
88.27,88.57,88.015,88.1,89436.0
88.09,88.1,88.09,88.1,351.0
88.6,88.99,87.77,87.875,47571.0
87.96,88.08,87.41,87.74,44010.0
87.715,88.22,87.67,87.695,61359.0
87.71,87.89,86.49,86.53,74761.0
86.565,86.86,86.24,86.63,46412.0
86.74,86.8,86.25,86.33,36989.0
86.285,86.36,86.08,86.2,264946.0
86.665,87.21,86.275,87.145,45671.0
87.18,87.54,86.605,86.81,64104.0
86.805,86.92,86.11,86.115,35316.0
86.17,86.3,85.93,86.165,51322.0
86.28,86.43,86.205,86.33,21624.0
86.355,86.63,86.08,86.12,23211.0
86.165,86.21,85.66,85.81,119666.0
85.76,86.23,85.52,85.77,59278.0
85.9,86.43,85.76,86.34,102890.0
86.34,86.52,86.105,86.42,26156.0
86.4,86.52,86.045,86.2,24723.0
86.23,86.61,86.23,86.46,27654.0
86.49,86.55,86.27,86.41,24908.0
86.41,86.83,86.37,86.7,125044.0
86.54,86.8,86.53,86.8,1500.0
87.51,87.69,86.86,87.39,51396.0
87.46,88.7,87.46,88.53,67510.0
88.56,88.56,88.12,88.46,117326.0
88.44,88.71,88.1,88.23,52408.0
88.3,88.38,87.75,88.02,37306.0
88.05,88.61,87.92,88.45,56999.0
88.52,88.64,88.15,88.285,143617.0
88.29,88.29,88.29,88.29,200.0
88.16,88.56,87.83,88.2,39972.0
88.18,88.41,87.79,88.3,54963.0
88.28,88.31,87.53,87.53,89661.0
87.56,87.64,87.26,87.34,56265.0
87.36,87.87,87.36,87.65,65336.0
87.69,87.74,87.48,87.535,47018.0
87.53,87.91,87.445,87.485,281653.0
87.51,87.51,87.5,87.5,400.0
87.56,87.56,86.84,87.28,38607.0
87.23,87.52,86.95,87.02,72331.0
86.99,87.135,86.76,86.795,59840.0
86.815,87.175,86.73,87.09,40013.0
87.075,87.36,87.05,87.21,27663.0
87.21,87.79,87.21,87.66,54772.0
87.66,87.87,87.395,87.6,141712.0
88.0,88.01,88.0,88.01,210.0
87.795,88.14,87.3,87.36,85305.0
87.345,87.94,87.295,87.525,82679.0
87.54,87.555,86.94,87.19,30518.0
87.175,87.53,87.03,87.085,33040.0
87.145,87.46,87.145,87.365,18656.0
87.27,87.27,86.915,87.045,31205.0
