Open,High,Low,Close,Volume
86.1,87.14,86.07,87.03,55805.0
87.07,88.115,86.985,87.88,235904.0
87.87,88.135,87.655,88.045,101999.0
88.07,88.54,87.87,88.535,119012.0
88.525,88.825,88.395,88.59,101486.0
88.56,88.68,88.36,88.36,51444.0
88.345,88.555,88.24,88.52,220985.0
88.275,88.6,87.94,87.945,62748.0
87.965,88.16,87.81,88.11,95663.0
88.115,88.4,88.0,88.295,63115.0
88.295,88.375,87.99,88.07,39682.0
88.075,88.17,87.825,87.925,44349.0
87.905,88.085,87.805,88.04,37650.0
88.04,88.195,87.98,88.045,151379.0
87.83,87.83,87.245,87.76,56315.0
87.785,88.755,87.785,88.31,102870.0
88.36,88.545,88.055,88.14,30992.0
88.165,88.52,88.155,88.335,32434.0
88.31,88.56,88.305,88.525,23263.0
88.54,88.66,88.4,88.515,36450.0
88.42,88.78,88.33,88.73,124209.0
88.56,88.75,88.35,88.39,71984.0
88.39,89.25,88.345,89.23,97527.0
89.215,89.38,89.04,89.275,63265.0
89.27,89.33,89.11,89.195,35707.0
89.19,89.27,89.09,89.27,42957.0
89.31,89.43,88.935,89.41,77861.0
89.395,89.42,89.085,89.155,182545.0
88.855,88.86,88.41,88.455,60278.0
88.455,88.565,88.05,88.125,106582.0
88.075,88.25,87.73,87.815,111597.0
87.835,88.04,87.755,87.885,51819.0
87.895,88.06,87.69,87.88,48843.0
87.885,88.325,87.885,88.22,47142.0
88.215,88.28,87.885,88.12,167296.0
88.0,88.0,88.0,88.0,1050.0
88.0,88.34,87.43,87.43,54834.0
87.445,87.645,87.19,87.275,79506.0
87.33,87.46,87.015,87.23,93515.0
87.23,87.23,86.825,86.83,46988.0
86.81,87.165,86.775,86.985,45691.0
86.955,87.265,86.86,86.905,55896.0
86.87,87.08,86.815,86.87,188625.0
86.87,86.87,86.87,86.87,100.0
86.835,87.21,86.64,86.64,37834.0
86.66,86.705,85.82,86.17,113367.0
86.2,86.45,85.87,86.39,107080.0
86.39,86.8,86.225,86.685,62800.0
86.685,86.875,86.455,86.57,74230.0
86.575,86.66,86.385,86.575,24792.0
86.575,86.65,86.11,86.12,172477.0
85.705,86.225,85.5,86.115,29548.0
86.115,86.38,85.96,86.195,41804.0
86.21,86.455,86.025,86.355,48229.0
86.305,86.455,86.15,86.26,64459.0
86.255,86.39,86.08,86.33,36126.0
86.285,86.615,86.285,86.525,42815.0
86.53,86.785,86.53,86.64,113473.0
87.33,87.745,86.785,87.02,167327.0
87.04,87.42,86.72,86.78,162300.0
86.745,86.825,86.105,86.47,137056.0
86.415,86.48,85.895,85.945,64741.0
85.955,86.19,85.91,86.12,60320.0
86.1,86.12,85.63,85.805,108253.0
85.78,86.09,85.72,85.96,401859.0
86.1,86.1,86.1,86.1,300.0
86.1,86.16,85.56,85.68,62269.0
85.69,85.87,85.33,85.555,87354.0
85.575,85.805,85.355,85.48,64304.0
85.49,85.705,85.43,85.515,39825.0
85.52,85.685,85.39,85.42,40593.0
85.425,85.465,85.185,85.235,58922.0
85.215,85.235,84.895,85.07,164826.0
84.94,85.91,84.885,85.67,74375.0
85.665,85.67,85.19,85.19,89217.0
85.225,85.44,85.07,85.205,70964.0
85.18,85.425,85.165,85.37,37493.0
85.41,85.7,85.355,85.545,45660.0
85.555,85.725,85.45,85.635,47107.0
85.625,85.72,85.47,85.48,200564.0
85.825,86.17,85.61,85.82,59493.0
85.83,86.2,85.83,86.065,64868.0
86.075,86.495,86.045,86.495,62539.0
86.49,86.71,86.39,86.405,76836.0
86.425,86.74,86.4,86.62,39977.0
86.65,86.775,86.6,86.625,53976.0
86.66,86.855,86.55,86.84,177232.0
86.54,86.63,86.22,86.53,38060.0
86.53,87.275,86.42,87.165,67786.0
87.185,87.38,86.9,87.34,56675.0
87.35,87.4,86.54,86.855,89776.0
86.88,87.13,86.88,87.07,29674.0
87.15,87.37,87.15,87.235,42131.0
87.215,87.53,87.1,87.41,95952.0
87.57,87.64,86.89,86.93,52696.0
86.9,86.99,86.67,86.89,237947.0
86.875,87.11,86.84,86.88,51785.0
86.92,87.155,86.895,87.145,41762.0
87.105,87.335,87.1,87.31,37596.0
87.325,87.34,87.205,87.31,60909.0
87.31,87.35,87.005,87.09,155418.0
87.65,88.16,87.56,87.93,70321.0
87.925,88.23,87.75,87.97,103742.0
87.975,88.13,87.87,88.07,75804.0
88.11,88.15,87.85,87.95,43663.0
87.97,88.07,87.81,87.89,33048.0
87.87,88.135,87.79,87.995,63398.0
87.99,88.22,87.85,88.105,162470.0
88.2,88.37,87.955,88.24,34320.0
88.22,88.49,88.205,88.315,75251.0
88.305,88.405,88.14,88.28,36770.0
88.265,88.38,88.045,88.1,44908.0
88.135,88.54,88.04,88.505,97119.0
88.485,88.83,88.425,88.68,94872.0
88.67,88.975,88.62,88.92,127711.0
88.415,88.43,87.91,88.16,38513.0
88.175,88.24,87.78,87.965,66579.0
87.98,88.045,87.835,88.03,46736.0
88.01,88.345,87.98,88.225,59976.0
88.205,88.375,88.085,88.19,34986.0
88.21,88.25,87.64,87.665,56945.0
87.64,87.78,87.145,87.7,189523.0
86.82,87.855,86.82,87.825,53900.0
87.865,88.215,87.555,87.555,91802.0
87.56,87.615,87.11,87.28,67288.0
87.345,87.78,87.3,87.62,63295.0
87.63,87.685,87.17,87.325,56741.0
87.355,87.515,87.02,87.4,67401.0
87.41,87.46,86.98,87.21,174735.0
86.89,87.19,85.82,85.84,109426.0
85.81,85.84,85.12,85.405,260520.0
85.43,85.77,85.375,85.675,164085.0
85.675,85.96,85.53,85.56,123440.0
85.58,85.67,85.33,85.605,115583.0
85.605,85.79,85.45,85.615,86144.0
85.64,85.75,85.455,85.6,256128.0
85.44,86.06,85.44,85.595,54681.0
85.58,86.05,85.33,85.935,237676.0
85.92,85.99,85.59,85.595,40232.0
85.58,85.58,85.355,85.485,38061.0
85.48,85.48,84.97,85.02,44959.0
85.025,85.33,84.985,85.25,54515.0
85.295,85.47,85.24,85.39,84535.0
85.53,85.56,84.99,85.07,49462.0
85.05,85.095,84.355,84.5,73314.0
84.505,85.07,84.39,85.04,58415.0
85.08,85.23,84.69,84.8,70216.0
84.83,85.065,84.82,84.97,57398.0
84.99,85.32,84.97,85.28,53923.0
85.29,85.625,85.29,85.51,129833.0
86.14,86.54,85.83,86.44,103592.0
86.425,86.48,85.535,85.785,135312.0
85.81,85.99,85.24,85.28,79892.0
85.25,85.63,85.15,85.47,117145.0
85.52,85.555,85.02,85.02,84561.0
85.02,85.105,84.6,84.81,119100.0
84.78,84.83,84.475,84.7,177384.0
85.29,86.15,85.24,85.42,114736.0
85.445,85.445,84.61,84.625,101221.0
84.66,84.83,84.55,84.78,69193.0
84.82,85.28,84.82,85.025,45126.0
85.04,85.11,84.715,85.02,32116.0
84.995,85.09,84.81,84.835,36755.0
84.855,84.89,84.29,84.4,131561.0
84.81,85.45,84.62,85.41,68923.0
85.405,85.705,84.38,84.645,434603.0
84.62,84.94,84.53,84.75,101774.0
84.745,85.08,84.745,84.94,55343.0
84.97,85.1,84.75,85.09,63362.0
85.105,85.16,84.76,84.765,29937.0
84.79,84.945,84.685,84.92,106600.0
84.9,84.9,84.9,84.9,500.0
85.135,85.445,84.785,84.99,30927.0
84.98,85.04,84.14,84.15,71017.0
84.13,84.535,84.1,84.29,72217.0
84.335,84.5,84.26,84.39,51029.0
84.355,84.4,84.15,84.29,51200.0
84.285,84.39,84.16,84.3,55687.0
84.32,84.47,84.11,84.25,194006.0
84.475,84.86,84.18,84.86,46475.0
84.87,85.39,84.83,85.14,98082.0
85.12,85.29,84.9,84.94,56788.0
84.96,85.05,84.78,84.82,43059.0
84.85,85.08,84.805,85.04,55109.0
85.05,85.185,84.91,84.91,39534.0
84.905,85.06,84.6,84.65,145283.0
84.75,84.75,84.75,84.75,200.0
84.765,85.12,84.5,85.0,31620.0
85.025,85.275,84.435,84.49,71323.0
84.49,84.96,84.42,84.45,82386.0
84.5,84.83,84.465,84.8,32968.0
84.8,84.98,84.67,84.82,29463.0
84.815,85.11,84.81,85.02,36373.0
84.995,85.65,84.995,85.645,159081.0
85.435,85.435,84.67,84.88,49816.0
84.885,85.24,84.84,85.06,133255.0
85.095,85.305,84.92,85.14,59274.0
85.16,85.17,84.845,85.045,29578.0
85.045,85.355,85.04,85.32,27807.0
85.33,85.405,85.185,85.315,38109.0
85.32,85.675,85.32,85.55,129627.0
85.53,85.92,85.53,85.68,34226.0
85.63,85.91,85.29,85.91,60803.0
85.875,86.15,85.84,86.065,80672.0
86.105,86.52,86.065,86.175,105177.0
86.165,86.3,86.1,86.125,36162.0
86.105,86.13,85.68,85.89,51186.0
85.905,85.905,85.525,85.57,158428.0
85.105,85.14,84.57,84.975,74810.0
84.995,85.31,84.65,85.15,156561.0
85.14,85.295,84.965,85.295,101200.0
85.26,85.37,85.15,85.18,69147.0
85.21,85.44,85.18,85.265,61616.0
85.24,85.24,84.95,85.07,130557.0
85.0,85.12,84.83,85.06,347920.0
84.77,85.38,84.68,84.86,130633.0
84.85,85.58,84.79,85.23,81215.0
85.2,85.3,84.855,84.855,78175.0
84.88,85.03,84.81,84.9,62075.0
84.9,84.92,84.74,84.76,83795.0
84.74,84.94,84.605,84.94,106457.0
84.94,85.12,84.87,85.08,238319.0
85.24,85.915,85.17,85.56,99171.0
85.56,85.705,85.33,85.42,254509.0
85.435,85.91,85.26,85.9,247691.0
85.9,85.92,85.63,85.87,96467.0
85.88,85.99,85.74,85.925,107655.0
85.945,86.04,85.72,85.97,101243.0
86.0,86.14,85.73,85.81,261841.0
85.57,85.95,85.42,85.83,56171.0
85.815,86.035,85.62,85.86,76842.0
85.855,86.17,85.71,86.03,76630.0
86.01,86.24,85.99,86.125,60466.0
86.14,86.45,86.1,86.415,51940.0
86.415,86.55,86.29,86.415,73009.0
86.45,86.46,86.16,86.39,121200.0
86.625,87.27,86.625,87.24,76448.0
87.25,87.93,87.25,87.87,199566.0
87.855,88.18,87.45,88.145,189873.0
88.15,88.29,88.055,88.17,95528.0
88.23,88.29,87.98,88.11,113326.0
88.12,88.245,87.93,88.205,118720.0
88.205,88.34,88.01,88.15,302681.0
88.17,88.17,88.17,88.17,170.0
87.89,88.45,87.64,88.105,132155.0
88.085,88.195,87.965,88.155,131407.0
88.14,88.32,88.11,88.13,102707.0
88.13,88.42,88.06,88.39,60328.0
88.415,88.435,88.295,88.35,68900.0
88.355,88.4,88.16,88.35,61086.0
88.33,88.47,88.22,88.36,182702.0
88.01,88.17,87.795,87.87,56160.0
87.87,88.065,87.755,87.82,93431.0
87.735,87.735,87.415,87.665,121863.0
87.62,87.715,87.49,87.59,70654.0
87.535,87.795,87.5,87.755,59499.0
87.755,87.94,87.74,87.9,82018.0
87.88,88.305,87.815,88.22,260831.0
88.02,89.28,88.02,89.065,72589.0
89.06,89.15,88.82,88.88,91697.0
88.92,88.98,88.6,88.95,54445.0
88.95,89.245,88.95,89.2,40298.0
89.185,89.41,89.16,89.4,58039.0
89.38,89.54,89.31,89.39,52248.0
89.385,89.51,89.17,89.22,301023.0
89.24,89.24,88.66,89.005,46992.0
89.025,89.175,88.835,89.08,70864.0
89.075,89.5,89.025,89.495,67236.0
