Open,High,Low,Close,Volume
52.63,52.63,52.46,52.49,6896.0
52.5,52.595,52.415,52.515,333601.0
52.525,52.575,52.18,52.22,498594.0
52.22,52.425,52.19,52.395,284190.0
52.4,52.42,52.225,52.29,300111.0
52.295,52.345,52.225,52.305,220837.0
52.305,52.335,52.23,52.275,121659.0
52.27,52.3,52.175,52.23,617557.0
52.35,52.41,52.35,52.41,2061.0
52.47,52.495,52.29,52.395,198338.0
52.37,52.455,52.245,52.26,465314.0
52.26,52.385,52.25,52.305,148506.0
52.3,52.32,52.14,52.2,230803.0
52.205,52.39,52.165,52.35,206003.0
52.345,52.4,52.24,52.325,147012.0
52.32,52.395,52.28,52.375,326534.0
52.34,52.34,52.28,52.28,1030.0
52.27,52.475,52.25,52.415,171484.0
52.415,52.61,52.415,52.605,358432.0
52.61,52.705,52.61,52.655,214464.0
52.66,52.715,52.63,52.685,116922.0
52.685,52.74,52.68,52.7,109353.0
52.69,52.725,52.595,52.62,129677.0
52.63,52.755,52.62,52.72,454862.0
52.39,52.43,52.37,52.39,4416.0
52.37,52.4,52.105,52.24,151019.0
52.23,52.32,52.175,52.295,143211.0
52.29,52.3,52.135,52.165,159070.0
52.175,52.23,52.085,52.23,126637.0
52.225,52.265,52.185,52.26,96801.0
52.27,52.28,52.1,52.24,170344.0
52.23,52.27,52.12,52.18,796863.0
52.13,52.13,52.13,52.13,175.0
52.05,52.07,52.05,52.07,220.0
52.11,52.47,52.025,52.375,207017.0
52.365,52.465,52.305,52.435,374169.0
52.44,52.55,52.345,52.49,187517.0
52.495,52.555,52.425,52.475,163808.0
52.48,52.575,52.47,52.55,92997.0
52.54,52.555,52.49,52.535,189224.0
52.54,52.57,52.47,52.55,440383.0
52.3,52.445,51.95,52.065,430797.0
52.075,52.155,51.85,51.85,392561.0
51.86,52.015,51.86,51.955,439649.0
51.96,51.975,51.815,51.815,212093.0
51.805,51.875,51.755,51.815,198867.0
51.81,51.895,51.755,51.77,273024.0
51.765,51.9,51.66,51.67,1021588.0
51.83,51.83,51.83,51.83,260.0
51.91,52.04,51.815,51.855,595809.0
51.855,51.945,51.7,51.72,433487.0
51.72,51.845,51.33,51.67,653391.0
51.675,51.8,51.65,51.8,154647.0
51.805,51.885,51.805,51.885,139304.0
51.875,52.02,51.85,52.02,161999.0
52.02,52.06,51.965,52.025,641149.0
51.845,52.32,51.845,52.215,427154.0
52.215,52.305,51.99,52.115,281830.0
52.115,52.335,52.115,52.28,317364.0
52.28,52.35,52.215,52.24,282932.0
52.235,52.365,52.22,52.32,195806.0
52.32,52.565,52.32,52.545,296257.0
52.55,52.595,52.475,52.52,1021183.0
52.57,52.63,52.47,52.585,175745.0
52.6,52.645,52.44,52.495,404075.0
52.49,52.605,52.485,52.6,177813.0
52.6,52.63,52.475,52.48,190377.0
52.51,52.555,52.465,52.535,107094.0
52.525,52.555,52.455,52.52,112276.0
52.52,52.595,52.48,52.545,420848.0
52.585,52.715,52.54,52.71,160643.0
52.72,52.775,52.62,52.75,292044.0
52.745,52.94,52.74,52.91,211079.0
52.91,52.91,52.82,52.845,166821.0
52.83,52.855,52.74,52.765,101138.0
52.77,52.785,52.64,52.65,150744.0
52.64,52.65,52.375,52.42,664654.0
52.5,52.71,52.5,52.535,223256.0
52.535,52.695,52.47,52.645,335732.0
52.635,52.7,52.515,52.615,198744.0
52.605,52.68,52.58,52.65,115693.0
52.64,52.7,52.58,52.64,156986.0
52.64,52.735,52.6,52.7,124136.0
52.7,52.745,52.65,52.67,421836.0
52.92,52.92,52.92,52.92,260.0
52.92,52.92,52.57,52.7,267353.0
52.705,52.8,52.65,52.71,154478.0
52.71,52.87,52.66,52.845,196611.0
52.835,52.955,52.83,52.9,94505.0
52.915,53.02,52.865,52.925,115452.0
52.935,53.045,52.935,53.01,111282.0
53.015,53.095,52.99,53.08,410593.0
53.095,53.23,53.01,53.23,209343.0
53.235,53.36,53.15,53.31,276011.0
53.315,53.43,53.315,53.415,165993.0
53.405,53.43,53.3,53.33,157113.0
53.31,53.38,53.295,53.325,84728.0
53.325,53.385,53.22,53.275,234570.0
53.275,53.315,53.05,53.06,785223.0
53.15,53.215,53.04,53.1,190499.0
53.08,53.375,53.0,53.285,318758.0
53.29,53.325,53.205,53.25,157252.0
53.23,53.37,53.22,53.37,154682.0
53.37,53.485,53.35,53.46,120016.0
53.46,53.48,53.425,53.44,118891.0
53.435,53.48,53.405,53.43,609971.0
53.365,53.42,53.29,53.335,210326.0
53.325,53.44,53.22,53.25,252854.0
53.25,53.265,53.13,53.185,396449.0
53.175,53.235,53.105,53.115,116959.0
53.12,53.175,53.02,53.02,108993.0
53.015,53.045,52.96,53.025,178898.0
53.025,53.085,52.985,53.07,677348.0
53.23,53.29,53.16,53.26,205189.0
53.26,53.295,52.995,53.025,203693.0
53.02,53.03,52.87,52.92,234674.0
52.915,52.975,52.86,52.975,189357.0
52.975,53.01,52.82,52.875,137508.0
52.87,52.885,52.76,52.79,166099.0
52.785,52.82,52.68,52.78,508158.0
52.775,52.96,52.735,52.91,259570.0
52.92,52.985,52.82,52.95,173470.0
52.95,52.97,52.84,52.92,179607.0
52.92,52.975,52.905,52.95,158582.0
52.95,52.995,52.88,52.935,126950.0
52.935,53.025,52.55,52.56,331102.0
52.545,52.715,52.44,52.69,833802.0
52.495,52.93,52.495,52.92,308241.0
52.935,52.99,52.68,52.68,366735.0
52.69,52.8,52.565,52.8,229048.0
