number,value,datetime_start,datetime_complete,duration,params_atr_period,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_median_length,params_min_period,params_position_size_pct,params_sigmoid_margin,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,params_trim_percent,params_use_replacement,user_attrs_avg_max_dd,user_attrs_avg_return_pct,user_attrs_avg_sharpe,user_attrs_avg_win_rate,user_attrs_total_trades,state
0,-10.0,2026-01-01 13:33:02.571237,2026-01-01 13:33:04.957528,0 days 00:00:02.386291,20,11,180,4.13917943670852,19,15.281126025068357,36,23,8,0.082861272335399,0.2306862171668645,6.572459013456996,38,6.464990239255899,17.923187592163547,10.364754613364799,3.2796955630936995,0.12040266124062732,True,0.0,0.0,0.0,0.0,0,COMPLETE
1,-10.0,2026-01-01 13:33:02.618567,2026-01-01 13:33:04.360339,0 days 00:00:01.741772,8,20,152,2.435690719539698,25,5.891142465126677,45,5,4,0.13973437562537327,0.1701112829412304,4.3576097411081935,40,11.46406217161151,15.786277920021247,3.6677296385020735,2.006576679226437,0.1640250178412302,False,0.0,0.0,0.0,0.0,0,COMPLETE
2,-10.0,2026-01-01 13:33:02.577601,2026-01-01 13:33:04.388291,0 days 00:00:01.810690,12,13,70,2.2230931146527895,21,17.627747454733786,57,14,4,0.1648238503671246,0.024441884499951095,5.12267706513558,60,19.124487591012134,9.267471163953811,5.827037892141671,1.7608631833085244,0.24725899793139514,False,0.0,0.0,0.0,0.0,0,COMPLETE
3,-10.0,2026-01-01 13:33:02.656561,2026-01-01 13:33:05.061339,0 days 00:00:02.404778,5,3,170,3.136478039171015,6,9.155433552760066,36,6,4,0.16698456258788114,0.174985693477605,7.493932986063189,18,12.570791147339342,18.55461426585157,6.923624402325291,4.068186573634549,0.29777014769514765,True,0.0,0.0,0.0,0.0,0,COMPLETE
4,-10.0,2026-01-01 13:33:02.705504,2026-01-01 13:33:05.177487,0 days 00:00:02.471983,17,19,156,4.619408469038609,23,6.88252391717158,49,28,2,0.17127387307588504,0.15715460333127831,2.2219994818037065,25,14.563155872751466,13.891856457661463,11.988035986677914,3.544976993020191,0.27690481839593417,False,0.0,0.0,0.0,0.0,0,COMPLETE
5,-10.0,2026-01-01 13:33:02.706111,2026-01-01 13:33:05.627915,0 days 00:00:02.921804,17,10,177,4.913410721508058,25,8.318482201981041,43,8,3,0.18242687067278196,0.033864365010812865,4.171702857654048,28,14.086602401003184,11.753292181995779,5.679292664578893,4.702802109771195,0.2586481799505512,False,0.0,0.0,0.0,0.0,0,COMPLETE
6,-10.0,2026-01-01 13:33:02.708528,2026-01-01 13:33:04.602070,0 days 00:00:01.893542,10,14,189,3.2667995139210464,7,11.35081736315016,44,6,2,0.08582169553938143,0.13206778328474325,1.3908456440747152,55,15.419521684062728,10.63815706512031,7.731559198958223,3.5024978451801436,0.1978223539222063,False,0.0,0.0,0.0,0.0,0,COMPLETE
7,-10.0,2026-01-01 13:33:02.719249,2026-01-01 13:33:05.399982,0 days 00:00:02.680733,13,13,86,2.802641620239689,10,9.785236298565437,29,7,3,0.1998238689730134,0.2752486002236389,7.246931800018958,33,8.623563931724973,19.777239802435155,4.426482425703701,1.8163611127890125,0.22520974315680184,True,0.0,0.0,0.0,0.0,0,COMPLETE
8,-10.0,2026-01-01 13:33:02.767504,2026-01-01 13:33:06.171530,0 days 00:00:03.404026,11,7,164,3.250550632077018,21,12.985785546382072,53,25,6,0.16591882018438797,0.29953931511385207,3.870012930690109,57,19.910613353700178,9.841373775379928,6.71150346551789,4.344193921634198,0.16556045099525601,True,0.0,0.0,0.0,0.0,0,COMPLETE
9,-10.0,2026-01-01 13:33:02.876592,2026-01-01 13:33:05.900431,0 days 00:00:03.023839,18,11,70,2.4479048028580173,23,10.86742037706882,36,23,5,0.16983887221550392,0.212657231372336,7.524988789797492,40,15.32257688529479,10.854005913097922,10.928226249550345,4.9338242029302855,0.3547740583355594,False,0.0,0.0,0.0,0.0,0,COMPLETE
