number,value,datetime_start,datetime_complete,duration,params_base_period,params_channel_length,params_channel_multi,params_fast_period,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_tp_multiplier,state
0,-10.0,2026-01-01 19:38:45.354219,2026-01-01 19:38:51.566572,0 days 00:00:06.212353,13,34,1.1522752509513796,6,30,8,1.8929409166199482,11,2.6011150117432087,COMPLETE
1,-10.0,2026-01-01 19:38:51.690054,2026-01-01 19:38:51.823010,0 days 00:00:00.132956,15,35,1.2650640588680906,7,32,3,1.4433937943676303,12,2.524756431632238,COMPLETE
2,-10.0,2026-01-01 19:38:51.922687,2026-01-01 19:38:52.044838,0 days 00:00:00.122151,14,41,1.5104629857953324,2,28,4,1.828140769114411,13,2.1996737821583596,COMPLETE
3,-10.0,2026-01-01 19:38:52.306847,2026-01-01 19:38:52.440286,0 days 00:00:00.133439,14,32,1.953996983528,6,22,6,1.9725056264596474,11,2.8083973481164612,COMPLETE
4,-10.0,2026-01-01 19:38:52.550552,2026-01-01 19:38:52.678473,0 days 00:00:00.127921,13,45,1.1309496690036966,5,29,3,1.9274563216630256,11,2.258779981600017,COMPLETE
5,-10.0,2026-01-01 19:38:52.779653,2026-01-01 19:38:52.873702,0 days 00:00:00.094049,15,60,1.797619541025003,5,27,4,1.9515991532513512,12,2.894827350427649,COMPLETE
6,-10.0,2026-01-01 19:38:52.973154,2026-01-01 19:38:53.069705,0 days 00:00:00.096551,14,40,1.449809560720534,3,22,8,1.4170792254191167,10,2.8287375091519293,COMPLETE
7,-10.0,2026-01-01 19:38:53.171603,2026-01-01 19:38:53.277884,0 days 00:00:00.106281,13,32,1.9881982429404657,2,27,4,1.817795815437326,18,2.198715681534172,COMPLETE
8,-10.0,2026-01-01 19:38:53.376443,2026-01-01 19:38:53.470961,0 days 00:00:00.094518,12,32,1.4226191556898455,7,29,7,1.2926952476201037,18,2.8631034258755936,COMPLETE
9,-10.0,2026-01-01 19:38:53.579847,2026-01-01 19:38:53.683483,0 days 00:00:00.103636,15,52,1.6738017242196919,4,22,4,1.9097701940610612,13,2.4722149251619494,COMPLETE
