number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
189,0.8828441352337404,2026-01-02 23:15:43.423194,2026-01-02 23:15:45.891496,0 days 00:00:02.468302,16,40,2.4131789361693023,6,7,20,10,2.1563030023127707,45,4,6,2.3619719849869867,2.054296164675617,COMPLETE
112,0.8765773213870112,2026-01-02 23:12:37.024713,2026-01-02 23:12:38.912835,0 days 00:00:01.888122,15,48,1.88662441919786,4,8,20,10,2.8978238360190938,44,4,9,2.1446901182868663,1.2179023971615845,COMPLETE
188,0.8752250314901778,2026-01-02 23:15:40.994512,2026-01-02 23:15:43.301125,0 days 00:00:02.306613,15,43,2.7843737123907926,5,8,20,10,2.222359286779141,44,4,6,1.800996714851519,1.716717379242041,COMPLETE
152,0.8752250314901778,2026-01-02 23:14:12.418981,2026-01-02 23:14:14.142355,0 days 00:00:01.723374,10,44,1.6901334083706936,6,9,20,10,2.279737283784068,44,4,10,2.2491376899048197,1.716492294561577,COMPLETE
132,0.8749230438295172,2026-01-02 23:13:20.808180,2026-01-02 23:13:23.080289,0 days 00:00:02.272109,12,52,2.0943367604995267,3,9,21,10,3.469516442366482,45,4,10,1.8288440765332241,1.3117757151142326,COMPLETE
146,0.8723713643855853,2026-01-02 23:13:56.716939,2026-01-02 23:13:59.267758,0 days 00:00:02.550819,15,45,2.459363085593163,3,10,24,10,2.7490984132990115,41,4,10,2.0744168547257673,1.6475706457560195,COMPLETE
161,0.8710265109197911,2026-01-02 23:14:29.804645,2026-01-02 23:14:32.201331,0 days 00:00:02.396686,11,53,1.6054637208384066,6,10,28,9,3.6466241618736706,44,3,8,1.617469243791495,2.2984305643315457,COMPLETE
115,0.8705777463884957,2026-01-02 23:12:43.335694,2026-01-02 23:12:45.079850,0 days 00:00:01.744156,16,41,2.808777829645419,2,7,20,10,2.742910033243858,41,4,10,2.928064190473837,1.5504666024279883,COMPLETE
123,0.8704077051218478,2026-01-02 23:12:58.951970,2026-01-02 23:13:01.257053,0 days 00:00:02.305083,25,51,1.5085212693517553,3,9,20,8,3.351189403738399,41,3,9,2.5253170165451606,1.182889691081435,COMPLETE
41,0.8696191245621541,2026-01-02 23:09:48.208979,2026-01-02 23:09:50.584847,0 days 00:00:02.375868,19,60,1.6489987615935298,3,8,28,9,1.8909282439424426,44,3,9,3.7632681776863977,1.2602324612835294,COMPLETE
0,0.8662313039704471,2026-01-02 23:08:00.165205,2026-01-02 23:08:11.761986,0 days 00:00:11.596781,10,43,1.8119890406724053,8,10,39,5,3.665440364437338,39,5,1,4.20501755284444,2.416145155592091,COMPLETE
159,0.8643701425407491,2026-01-02 23:14:25.048250,2026-01-02 23:14:27.215136,0 days 00:00:02.166886,15,43,2.949470579553792,3,8,20,9,2.4376571405651366,43,4,9,2.8437513744519047,1.199136258970137,COMPLETE
197,0.8638145698215264,2026-01-02 23:16:04.204011,2026-01-02 23:16:06.602502,0 days 00:00:02.398491,14,44,2.8121583986023673,5,7,25,10,2.82939706657338,45,3,10,1.6749869002625026,1.5213713158128253,COMPLETE
117,0.8634565337422193,2026-01-02 23:12:47.138222,2026-01-02 23:12:48.836980,0 days 00:00:01.698758,18,50,2.0526855282182543,5,8,20,8,3.4604662280964167,45,4,8,3.098577194480594,1.4570937291375345,COMPLETE
103,0.8629692672931878,2026-01-02 23:12:16.747552,2026-01-02 23:12:19.109689,0 days 00:00:02.362137,15,49,1.9366822570275426,2,8,20,10,2.1621453573060405,43,4,9,2.039612396062764,1.1802396406141622,COMPLETE
47,0.8628454196345042,2026-01-02 23:10:03.925090,2026-01-02 23:10:06.310439,0 days 00:00:02.385349,17,56,1.700282261153102,2,8,22,9,1.586152044300123,43,4,9,2.4748544634736245,1.4072978876243114,COMPLETE
180,0.862658148797634,2026-01-02 23:15:19.774427,2026-01-02 23:15:22.304128,0 days 00:00:02.529701,18,45,2.678977900095174,4,10,25,9,3.001028132857411,41,4,10,2.569905920976325,1.878156710983211,COMPLETE
140,0.8625426868440055,2026-01-02 23:13:40.147172,2026-01-02 23:13:42.447447,0 days 00:00:02.300275,14,47,2.174798668797201,4,9,20,10,2.60796484949323,43,4,9,2.0733717200491992,1.2180565707062962,COMPLETE
187,0.8619430773121556,2026-01-02 23:15:38.522209,2026-01-02 23:15:40.867343,0 days 00:00:02.345134,11,42,2.3274031037637224,5,8,20,10,1.9700578665190247,42,4,7,2.139724517883562,1.8311452202116922,COMPLETE
107,0.8618137563277527,2026-01-02 23:12:25.819559,2026-01-02 23:12:27.888073,0 days 00:00:02.068514,17,45,2.7664662365445905,3,7,22,9,2.37190606293776,43,4,9,2.2750353174431694,1.8330307172536058,COMPLETE
113,0.8618137563277527,2026-01-02 23:12:39.030125,2026-01-02 23:12:41.338600,0 days 00:00:02.308475,14,47,2.0150115192761424,5,9,22,9,2.8615374060110303,43,4,9,2.1339151787469812,1.8502528759494088,COMPLETE
194,0.8610485658256457,2026-01-02 23:15:56.475893,2026-01-02 23:15:58.846672,0 days 00:00:02.370779,11,45,2.1213417934739294,7,9,22,10,1.9255902141575914,44,4,7,2.0358470593737286,1.7181961821424432,COMPLETE
150,0.8596100753536832,2026-01-02 23:14:08.138809,2026-01-02 23:14:10.484971,0 days 00:00:02.346162,11,48,1.7414372772098476,7,10,22,10,3.5690590985969157,44,4,10,1.633554369747433,1.9899871073639892,COMPLETE
119,0.858907318115398,2026-01-02 23:12:50.787235,2026-01-02 23:12:52.487042,0 days 00:00:01.699807,19,49,1.637894464447487,7,9,23,9,2.9603375132240206,42,4,7,2.7790243940847814,1.509046256842948,COMPLETE
153,0.858122001307066,2026-01-02 23:14:14.245668,2026-01-02 23:14:15.913675,0 days 00:00:01.668007,11,44,1.8637778717862963,8,10,20,9,2.832638565219435,45,4,9,1.7803827227180389,1.559310595039632,COMPLETE
71,0.8578910670703087,2026-01-02 23:11:05.506659,2026-01-02 23:11:08.596039,0 days 00:00:03.089380,17,57,1.7133297155483045,2,8,31,9,1.5182758789352133,41,3,8,3.7264312201349687,1.2864794533847068,COMPLETE
133,0.8571066734078192,2026-01-02 23:13:23.216331,2026-01-02 23:13:25.555717,0 days 00:00:02.339386,12,47,2.350398230399347,4,9,21,9,3.506862961859546,44,4,8,3.0493030708362245,1.0954997659580727,COMPLETE
196,0.8565733124721183,2026-01-02 23:16:01.635429,2026-01-02 23:16:03.996432,0 days 00:00:02.361003,13,45,2.9655378484427555,5,8,21,10,2.0433384654556317,42,4,5,2.22242666246389,2.105249239714268,COMPLETE
182,0.8563221370551233,2026-01-02 23:15:25.181307,2026-01-02 23:15:27.651369,0 days 00:00:02.470062,15,51,1.8880830758998257,2,9,23,9,1.5076105045422448,41,4,9,2.1556800218074095,1.931139308439428,COMPLETE
68,0.8563122623363695,2026-01-02 23:10:57.636987,2026-01-02 23:11:00.162615,0 days 00:00:02.525628,17,57,1.7447596952387403,2,5,39,5,2.3471599326335535,45,3,4,4.08894383216631,1.7779380948444337,COMPLETE
121,0.8559063425978866,2026-01-02 23:12:54.454467,2026-01-02 23:12:56.271061,0 days 00:00:01.816594,22,53,1.5863526879219385,5,9,23,9,3.902732738963973,44,4,7,2.4108285867245356,1.1904736007070449,COMPLETE
32,0.8557506578658111,2026-01-02 23:09:25.142839,2026-01-02 23:09:27.789943,0 days 00:00:02.647104,15,58,1.900603996212774,2,8,32,10,1.7852858842262282,44,3,7,3.171260913895139,1.698489260493504,COMPLETE
108,0.8556163632352944,2026-01-02 23:12:28.003432,2026-01-02 23:12:30.136968,0 days 00:00:02.133536,19,46,2.9899477075804395,3,8,24,9,2.687241795414953,42,4,8,2.665416829952448,1.6373677984265709,COMPLETE
82,0.8554620863193966,2026-01-02 23:11:28.823997,2026-01-02 23:11:30.673335,0 days 00:00:01.849338,22,60,1.7992030009583442,2,10,31,9,1.7854652067518693,45,3,9,5.036382680515922,1.172955395371923,COMPLETE
85,0.8553320215325975,2026-01-02 23:11:34.723536,2026-01-02 23:11:36.542867,0 days 00:00:01.819331,25,55,1.5523808674306607,2,9,36,10,2.7989672832932966,45,3,8,4.739069855125592,1.1064774531454524,COMPLETE
