number,value,datetime_start,datetime_complete,duration,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
26,0.8754952628707738,2026-01-04 02:51:47.522196,2026-01-04 02:51:49.170444,0 days 00:00:01.648248,3.366788895948597,4.27640218182224,1.716249510322164,COMPLETE
39,0.8754952628707738,2026-01-04 02:52:11.293333,2026-01-04 02:52:13.235462,0 days 00:00:01.942129,2.370519478768169,3.0202481415433944,1.7621633928423095,COMPLETE
34,0.8754952628707738,2026-01-04 02:52:01.953090,2026-01-04 02:52:03.611705,0 days 00:00:01.658615,2.5021799074922595,4.570359195691012,1.5504036161038963,COMPLETE
22,0.8754952628707738,2026-01-04 02:51:40.365286,2026-01-04 02:51:41.999193,0 days 00:00:01.633907,2.617534111319411,3.0093477766210084,1.6874803989655884,COMPLETE
19,0.8754952628707738,2026-01-04 02:51:34.991825,2026-01-04 02:51:36.600625,0 days 00:00:01.608800,2.3919657248382906,3.090454577821076,1.7855945953738757,COMPLETE
21,0.8754952628707738,2026-01-04 02:51:38.598234,2026-01-04 02:51:40.256882,0 days 00:00:01.658648,2.730264360412155,4.593825736609974,1.778749207917263,COMPLETE
14,0.8754952628707738,2026-01-04 02:51:26.200076,2026-01-04 02:51:27.840064,0 days 00:00:01.639988,2.068777042230437,4.818640804157564,1.6658039668800304,COMPLETE
8,0.8754952628707738,2026-01-04 02:51:15.505886,2026-01-04 02:51:17.282222,0 days 00:00:01.776336,2.912139968434072,4.570351922786028,1.5594128078850475,COMPLETE
62,0.8754952628707738,2026-01-04 02:52:53.307067,2026-01-04 02:52:54.921584,0 days 00:00:01.614517,3.0155640351935054,4.571588361086599,1.7464206842937664,COMPLETE
68,0.8754952628707738,2026-01-04 02:53:04.130681,2026-01-04 02:53:05.779384,0 days 00:00:01.648703,3.3415346476151035,3.76852005016449,1.5506830308527677,COMPLETE
60,0.8754952628707738,2026-01-04 02:52:49.767374,2026-01-04 02:52:51.436956,0 days 00:00:01.669582,2.3138712207130507,4.5536749453537375,1.7134864415003725,COMPLETE
