number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
60,0.9009859515785683,2026-01-04 03:24:56.457925,2026-01-04 03:24:58.172094,0 days 00:00:01.714169,47,2.7788640732560155,3.229333663517635,3.7355766873604455,1.2791430675004607,COMPLETE
56,0.9009859515785683,2026-01-04 03:24:48.712638,2026-01-04 03:24:50.480239,0 days 00:00:01.767601,47,2.9487964881170274,3.290589572055343,3.6620502768088663,1.2863585027326825,COMPLETE
34,0.9009859515785683,2026-01-04 03:23:59.045599,2026-01-04 03:24:01.589031,0 days 00:00:02.543432,49,2.9394820520908906,3.698139969894386,3.1796752834471746,1.3061908162297797,COMPLETE
32,0.9009859515785683,2026-01-04 03:23:54.009731,2026-01-04 03:23:56.497633,0 days 00:00:02.487902,44,2.3348050421864084,3.467434998118378,3.7208042591919965,1.299523859054104,COMPLETE
93,0.9009859515785683,2026-01-04 03:26:00.985757,2026-01-04 03:26:02.779512,0 days 00:00:01.793755,43,2.236372397303112,3.4863285675456974,3.6131255736430115,1.2978929483345911,COMPLETE
102,0.9009859515785683,2026-01-04 03:26:17.835426,2026-01-04 03:26:19.677424,0 days 00:00:01.841998,38,2.5277511542033553,3.356753382883852,3.0719342358208888,1.2785761971355392,COMPLETE
101,0.9009859515785683,2026-01-04 03:26:15.794413,2026-01-04 03:26:17.697487,0 days 00:00:01.903074,41,2.3672948451110294,3.2450674080670865,3.5108038439396734,1.3018266079343732,COMPLETE
84,0.9009859515785683,2026-01-04 03:25:43.730890,2026-01-04 03:25:45.488918,0 days 00:00:01.758028,42,2.7285686267733436,3.463607132652403,3.79543573658789,1.2939555741990358,COMPLETE
141,0.9009859515785683,2026-01-04 03:27:32.694638,2026-01-04 03:27:34.556185,0 days 00:00:01.861547,39,2.2401325694115855,3.712759171524601,3.966732519563756,1.2896936703063224,COMPLETE
105,0.9009859515785683,2026-01-04 03:26:23.439710,2026-01-04 03:26:25.239070,0 days 00:00:01.799360,41,2.296597180482806,2.44696043875976,3.315254046882256,1.297034393510481,COMPLETE
114,0.9009859515785683,2026-01-04 03:26:41.168035,2026-01-04 03:26:42.891852,0 days 00:00:01.723817,37,2.15938584410207,2.0618440238811266,3.4449821245973835,1.3057841610294134,COMPLETE
112,0.9009859515785683,2026-01-04 03:26:37.178706,2026-01-04 03:26:39.218992,0 days 00:00:02.040286,36,2.288043586449528,2.077346246381188,3.4552992304149748,1.2780016098502212,COMPLETE
186,0.9009859515785683,2026-01-04 03:29:21.699242,2026-01-04 03:29:24.761265,0 days 00:00:03.062023,49,2.9128622419730883,3.3358051998682723,3.2990206761137575,1.282967037172011,COMPLETE
161,0.9009859515785683,2026-01-04 03:28:17.701384,2026-01-04 03:28:19.942252,0 days 00:00:02.240868,50,2.9402568210951094,3.323730172695319,3.228112092089564,1.2970741013676725,COMPLETE
179,0.9009859515785683,2026-01-04 03:29:01.958107,2026-01-04 03:29:04.770142,0 days 00:00:02.812035,46,2.896468213901533,3.2419204484733064,3.2889015744061583,1.292558377864813,COMPLETE
