number,value,datetime_start,datetime_complete,duration,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
1983,3.3001585604916355,2026-01-06 22:40:28.960434,2026-01-06 22:40:29.023837,0 days 00:00:00.063403,3.6723265528838294,3.4227540815185002,4.832641630229707,1.539057267124555,COMPLETE
1982,3.3001585604916355,2026-01-06 22:40:28.734720,2026-01-06 22:40:28.809015,0 days 00:00:00.074295,3.6529191909000667,3.0661398187665037,5.605737904951085,1.9398997318976938,COMPLETE
1981,3.3001585604916355,2026-01-06 22:40:28.525451,2026-01-06 22:40:28.594886,0 days 00:00:00.069435,2.258609555160855,3.825935923848903,4.161214194226341,1.8614517511046875,COMPLETE
1980,3.3001585604916355,2026-01-06 22:40:28.314615,2026-01-06 22:40:28.389662,0 days 00:00:00.075047,2.751543248971926,4.06886241517002,3.184517340886782,1.5472163787106554,COMPLETE
1979,3.3001585604916355,2026-01-06 22:40:28.129455,2026-01-06 22:40:28.192094,0 days 00:00:00.062639,2.4335347977956423,2.895695561119242,4.725193908217799,3.102970909236473,COMPLETE
1978,3.3001585604916355,2026-01-06 22:40:27.894841,2026-01-06 22:40:27.973511,0 days 00:00:00.078670,3.689723036886336,3.4971587108296096,3.6511079991182847,3.7108452054685532,COMPLETE
1977,3.3001585604916355,2026-01-06 22:40:27.675708,2026-01-06 22:40:27.746823,0 days 00:00:00.071115,3.997788950545198,2.9608359633287256,5.904296454610101,1.5968351384809971,COMPLETE
1976,3.3001585604916355,2026-01-06 22:40:27.470387,2026-01-06 22:40:27.547308,0 days 00:00:00.076921,3.4544251808544923,2.0446178423278054,3.168705823219512,2.7370292427639296,COMPLETE
1975,3.3001585604916355,2026-01-06 22:40:27.171335,2026-01-06 22:40:27.255958,0 days 00:00:00.084623,2.613890219223088,2.3619680006863657,3.766305041905852,1.5082593398475146,COMPLETE
1974,3.3001585604916355,2026-01-06 22:40:26.922843,2026-01-06 22:40:26.994611,0 days 00:00:00.071768,3.042881996717881,3.670350381471205,4.028506929341863,1.786439714628576,COMPLETE
1973,3.3001585604916355,2026-01-06 22:40:26.730125,2026-01-06 22:40:26.794942,0 days 00:00:00.064817,2.3484941687427776,3.3140483903654805,3.4054902110768146,2.947395455196363,COMPLETE
1972,3.3001585604916355,2026-01-06 22:40:26.524997,2026-01-06 22:40:26.605738,0 days 00:00:00.080741,3.8124920819396295,2.4825376211414287,4.599849480795664,1.9233766407770563,COMPLETE
1971,3.3001585604916355,2026-01-06 22:40:26.232486,2026-01-06 22:40:26.330370,0 days 00:00:00.097884,3.0732364225047446,3.143570304996889,5.97483098194204,2.357860133982252,COMPLETE
1970,3.3001585604916355,2026-01-06 22:40:25.782247,2026-01-06 22:40:25.958915,0 days 00:00:00.176668,3.8556737217917583,2.5214764114819275,4.922079874957003,1.6811933309632576,COMPLETE
1969,3.3001585604916355,2026-01-06 22:40:25.453007,2026-01-06 22:40:25.528819,0 days 00:00:00.075812,3.237843417965651,2.009033423716516,5.525134852298866,3.3532286852509876,COMPLETE
1968,3.3001585604916355,2026-01-06 22:40:25.173015,2026-01-06 22:40:25.243626,0 days 00:00:00.070611,2.2911464019174033,2.211440766319335,5.9813532065658634,3.5280393301578474,COMPLETE
31,3.3001585604916355,2026-01-06 22:33:53.763441,2026-01-06 22:33:53.822242,0 days 00:00:00.058801,2.3487120126795356,2.597409204093086,5.133937445436501,2.7628776972310973,COMPLETE
30,3.3001585604916355,2026-01-06 22:33:53.580566,2026-01-06 22:33:53.631224,0 days 00:00:00.050658,3.912632892659216,3.4646048057535586,4.429051819443323,1.9852361462910937,COMPLETE
29,3.3001585604916355,2026-01-06 22:33:53.408542,2026-01-06 22:33:53.459746,0 days 00:00:00.051204,3.902858042971758,2.297489210229483,3.0101179028291694,1.769563547958442,COMPLETE
28,3.3001585604916355,2026-01-06 22:33:53.244543,2026-01-06 22:33:53.292484,0 days 00:00:00.047941,3.6696112509548495,4.31902838476723,3.925149228933856,1.6593136341727635,COMPLETE
27,3.3001585604916355,2026-01-06 22:33:53.070848,2026-01-06 22:33:53.122468,0 days 00:00:00.051620,2.379589051834408,4.120833160591959,4.315957687408627,2.9337763122400053,COMPLETE
26,3.3001585604916355,2026-01-06 22:33:52.905637,2026-01-06 22:33:52.961042,0 days 00:00:00.055405,3.5721495417258513,3.5897443971231304,4.8078307847840644,2.381413931775894,COMPLETE
25,3.3001585604916355,2026-01-06 22:33:52.737270,2026-01-06 22:33:52.785189,0 days 00:00:00.047919,3.9409555277596637,2.929540806382306,5.6357547221553626,1.5912695050343517,COMPLETE
24,3.3001585604916355,2026-01-06 22:33:52.571633,2026-01-06 22:33:52.622550,0 days 00:00:00.050917,2.5394640658650713,4.073390870788487,4.471828610425831,1.7352700226639746,COMPLETE
23,3.3001585604916355,2026-01-06 22:33:52.412683,2026-01-06 22:33:52.461906,0 days 00:00:00.049223,3.4688482046195372,2.717587560114502,3.4837615909193,1.7222748369711018,COMPLETE
22,3.3001585604916355,2026-01-06 22:33:52.233672,2026-01-06 22:33:52.284840,0 days 00:00:00.051168,2.5252590127064973,4.254064733723249,3.0316603349263382,1.5396824924648014,COMPLETE
21,3.3001585604916355,2026-01-06 22:33:52.065428,2026-01-06 22:33:52.117854,0 days 00:00:00.052426,3.6061127781814823,2.021684421659258,3.4542731119744654,2.307617783946734,COMPLETE
20,3.3001585604916355,2026-01-06 22:33:51.885697,2026-01-06 22:33:51.947188,0 days 00:00:00.061491,3.6510315425829694,3.8935607176675053,5.395241590277506,1.5901348123846515,COMPLETE
19,3.3001585604916355,2026-01-06 22:33:51.717768,2026-01-06 22:33:51.767297,0 days 00:00:00.049529,2.2317381190502594,3.9281758667148643,3.222133955202271,2.396164321360682,COMPLETE
18,3.3001585604916355,2026-01-06 22:33:51.550116,2026-01-06 22:33:51.600517,0 days 00:00:00.050401,3.4580143360819746,2.013805292809006,5.446384285364502,3.267143359619043,COMPLETE
