number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
790,3.1118036734607606,2026-01-07 05:02:12.525978,2026-01-07 05:02:12.599245,0 days 00:00:00.073267,43,39,2.997958876452215,2.9010377974548147,3.2410823024974764,1.9065305066637008,COMPLETE
1751,3.1118036734607606,2026-01-07 05:06:20.578366,2026-01-07 05:06:20.681253,0 days 00:00:00.102887,50,38,2.9397598177673645,2.0215869063673333,5.721190347836762,2.8646000272473375,COMPLETE
813,3.1118036734607606,2026-01-07 05:02:17.684938,2026-01-07 05:02:17.756479,0 days 00:00:00.071541,35,38,3.990838258917664,2.631720465885989,4.438712015999401,3.7626068733867006,COMPLETE
1886,3.1118036734607606,2026-01-07 05:06:56.222839,2026-01-07 05:06:56.321344,0 days 00:00:00.098505,20,38,3.1867612391376747,3.104784762056204,3.0065227866141004,2.282371870278156,COMPLETE
61,3.1118036734607606,2026-01-07 04:59:20.735178,2026-01-07 04:59:20.805255,0 days 00:00:00.070077,39,39,2.5085575513131033,2.5836169240067837,4.414813403932427,1.6192537449402495,COMPLETE
60,3.1118036734607606,2026-01-07 04:59:20.433285,2026-01-07 04:59:20.528502,0 days 00:00:00.095217,35,38,2.4381338922773725,2.838691216890374,4.552815044744105,1.644050194186947,COMPLETE
1991,3.1118036734607606,2026-01-07 05:07:23.994119,2026-01-07 05:07:24.086914,0 days 00:00:00.092795,20,38,3.060667660489201,4.328962708899918,5.614202507188799,2.071371075490311,COMPLETE
830,3.1118036734607606,2026-01-07 05:02:21.501485,2026-01-07 05:02:21.576625,0 days 00:00:00.075140,30,38,3.142569799186005,4.317927929238534,5.934043454927907,2.500514798263138,COMPLETE
822,3.1118036734607606,2026-01-07 05:02:19.707079,2026-01-07 05:02:19.781832,0 days 00:00:00.074753,24,39,3.289137186628533,4.281453293242633,5.473855504197847,1.9626942374307932,COMPLETE
819,3.1118036734607606,2026-01-07 05:02:18.997059,2026-01-07 05:02:19.079662,0 days 00:00:00.082603,15,39,2.2276133370330577,3.9333386023817885,3.866460621314106,2.161000406676559,COMPLETE
