ticker,profit_factor,profit_factor_diag,trend_metric,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd,eligible
APH,11.631238145227147,11.631238145227147,7.026257722311618,5,0.153289872903468,0.18415142997297584,0.19842079695350945,0.017059301380991067,-0.018827533274866193,True
LIT,14.232915819515808,12.0,9.430005191840515,4,0.150208165941837,0.20867274155107007,0.2174426306630682,0.01527744795377181,-0.017048885259798974,True
TEVA,9.702726493230474,9.702726493230474,6.044806207237238,3,0.14858660766789392,0.23577219038844666,0.25763752712485777,0.026553106212424904,-0.02772089204408834,True
INCY,inf,12.0,5.1691444521275685,2,0.14856873837931572,0.26233503534412517,0.24999549730402662,0.0,-0.0006000000000000449,True
TAN,15.255308697815158,12.0,5.293924267668652,4,0.14594586113727087,0.19159062851215625,0.2031229727259243,0.013314904126129894,-0.009522732277045254,True
PLAB,3.677249495991406,3.677249495991406,2.358433414862124,3,0.14236396072474344,0.23475582232344072,0.38292505707367636,0.10413355348640485,-0.10660587551276379,True
CAT,8.400262002651601,8.400262002651601,6.949431453067188,4,0.1403456440756295,0.1706408252345213,0.19144331072099174,0.02279015948080683,-0.02454808201819103,True
PALL,8.562317526462227,8.562317526462227,4.828867978548181,3,0.13219057739306797,0.16660099358077973,0.18829111981859464,0.02199067241277522,-0.02316393152252194,True
CM,inf,12.0,10.021652305118629,4,0.1320943140058223,0.13823316706527344,0.13682174496849553,0.0,-0.000600000000000156,True
XME,inf,12.0,6.428836353486493,2,0.128758820320129,0.17307067798745535,0.16897715794000226,0.0,-0.0006000000000000449,True
ANDE,5.4035715637702895,5.4035715637702895,4.468780760656172,3,0.12796883160370415,0.15092748352896046,0.1879162724585938,0.034776308639739205,-0.03593422958884274,True
MRK,inf,12.0,2.1137572491761594,3,0.12776762053993884,0.152795041448601,0.15245740227252308,0.0,-0.001057992156322296,True
MD,inf,12.0,5.514443921158843,2,0.12695305136955018,0.1654134313547473,0.16405440324341403,0.0,-0.0006000000000000449,True
CMI,7.067937579078994,7.067937579078994,6.466955735704671,3,0.126648696771523,0.1446800424933412,0.17021926028051299,0.02408329988430569,-0.025838896165276015,True
FTI,7.774850378078331,7.774850378078331,5.589698420949729,3,0.12458157222079874,0.13627095190654837,0.15827755927862394,0.02035763411279235,-0.022119932569236944,True
IMO,inf,12.0,4.780476096907381,2,0.12129802402446893,0.14179792798476987,0.14018652799283648,0.0,-0.000600000000000156,True
