ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score
MAR,4.162517651177857,4.162517651177857,4.0,1,0,7,0.9954536132298974,0.20794873116723545,0.28254662591827945,0.06787878144812863,0.00969696877830409,0.020798632390413786,-0.06670614100004901,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
DDOG,3.378932096527307,3.378932096527307,3.378932096527307,0,0,8,0.9929638291333313,0.4291902376729433,0.5868684510511591,0.17368459450674148,0.021710574313342685,0.03584875710339988,-0.0891625369511686,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
NVT,423.73245956461744,423.73245956461744,4.0,1,0,7,0.9954536132298974,0.8817976712109454,0.7087305864324527,0.0016725897920604645,0.00023894139886578063,0.030306104600314587,-0.0016725897925901068,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
APH,4.266443514335495,4.266443514335495,4.0,1,0,9,0.9984156789853158,0.25549807697585036,0.3352546678322116,0.07857942258129907,0.008731046953477675,0.027276668909321778,-0.0772237877089319,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ASML,4.746822204823126,4.746822204823126,4.0,1,0,7,0.9954536132298974,0.16382185431632834,0.20234449583223463,0.04262735933666053,0.006089622762380076,0.025928118476119512,-0.028072374033361047,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
UTHR,4.128259285118843,4.128259285118843,4.0,1,0,6,0.9881102184755315,0.08384224651916461,0.10880748307994483,0.026356746406933234,0.004392791067822205,0.026636324910880384,-0.020109140556571092,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
BBIO,2.2982203385850632,2.2982203385850632,2.2982203385850632,0,0,10,0.9159486954611833,0.10246853762093733,0.18377606763638754,0.07996451190991212,0.007996451190991212,0.036031068504652757,-0.05695639376736461,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
NKE,0.24983845098398316,0.24983845098398316,0.24983845098398316,0,0,7,0.07541570087335456,-0.11843814934774921,0.04021435157566039,0.160961418938026,0.022994488419718,0.02851376419084325,-0.15288589655185492,1,1,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ARKF,1.217029293274292,1.217029293274292,1.217029293274292,0,0,7,0.3991762003213968,0.01969856089149724,0.16036261390036938,0.13176561549223706,0.018823659356033865,0.02267023346303446,-0.12588206407161784,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
TD,3.447047856790585,3.447047856790585,3.447047856790585,0,0,8,0.9939064860433917,0.17901637954704275,0.24559606012507065,0.07124823046516557,0.008906028808145696,0.013359537847656342,-0.05522832331336447,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
