entry_idx,entry_price,exit_idx,exit_price,reason
5,26.29,6,26.62,trailingTP
14,25.93,15,25.84,trailingTP
20,25.93,21,26.29,trailingTP
25,26.33,26,26.6,trailingTP
29,26.655,30,26.84,trailingTP
39,27.63,40,27.695,trailingTP
60,28.575,61,28.84,trailingTP
67,28.97,68,29.49,trailingTP
78,30.215,79,30.445,trailingTP
87,30.56,88,31.345,trailingTP
99,33.12,100,32.8,trailingTP
104,32.94,105,33.81,trailingTP
114,31.945,115,32.54,trailingTP
123,33.405,124,33.14,trailingTP
131,33.46,132,33.91,trailingTP
142,32.68,143,32.965,trailingTP
150,33.15,151,33.025,trailingTP
156,33.57,157,33.895,trailingTP
165,33.15,166,33.34,trailingTP
180,33.3,181,33.24,trailingTP
199,36.38,200,37.015,trailingTP
205,37.805,206,38.1,trailingTP
215,40.57,216,40.885,trailingTP
235,40.59,236,40.76,trailingTP
245,40.77,246,40.785,trailingTP
