entry_idx,entry_price,exit_idx,exit_price,reason
18,209.2,19,209.93,trailingTP
43,209.645,44,209.39,trailingTP
61,211.49,62,210.93,trailingTP
71,214.01,72,213.4,trailingTP
89,214.48,90,214.56,trailingTP
107,214.46,108,214.45,trailingTP
135,210.21,136,211.24,trailingTP
144,206.22,145,207.19,trailingTP
158,209.53,159,211.075,trailingTP
187,229.525,188,229.75,trailingTP
214,232.29,215,230.52,sellSignal
221,232.045,222,230.88,trailingTP
242,225.955,243,228.19,trailingTP
260,228.005,261,227.975,trailingTP
292,229.69,293,236.78,trailingTP
339,229.025,340,229.04,trailingTP
382,240.88,383,242.87,trailingTP
413,253.67,414,252.87,trailingTP
432,254.37,433,255.53,trailingTP
440,256.47,441,255.58,trailingTP
456,258.195,457,258.16,trailingTP
478,257.185,479,257.61,trailingTP
492,255.485,493,253.07,sellSignal
501,248.79,502,249.5,trailingTP
513,248.89,514,250.685,trailingTP
528,248.42,529,248.905,trailingTP
558,258.4,559,258.38,trailingTP
592,270.55,593,269.6,trailingTP
621,268.39,622,268.255,trailingTP
638,272.31,639,270.59,trailingTP
647,270.7,648,268.9,trailingTP
653,270.08,654,273.14,trailingTP
676,275.11,677,272.99,trailingTP
684,273.01,685,274.24,trailingTP
705,268.795,706,267.44,trailingTP
714,275.0,715,273.49,trailingTP
722,268.28,723,270.89,trailingTP
746,279.31,747,278.89,trailingTP
754,278.77,754,278.77,endClose
