entry_idx,entry_price,exit_idx,exit_price,reason
7,30.475,8,30.71,trailingTP
21,31.145,22,31.53,trailingTP
56,29.0,57,29.79,trailingTP
98,31.88,99,31.2,trailingTP
127,30.39,128,30.16,trailingTP
141,28.96,142,28.98,trailingTP
154,29.61,155,30.47,trailingTP
166,30.02,167,30.0,trailingTP
183,30.77,184,30.95,trailingTP
203,31.335,204,31.23,trailingTP
218,29.99,219,29.8,trailingTP
237,29.535,238,29.51,trailingTP
263,31.85,264,31.82,trailingTP
272,31.89,273,31.93,trailingTP
287,30.94,288,31.01,trailingTP
301,31.29,302,31.935,trailingTP
307,31.87,308,31.81,trailingTP
312,32.02,313,31.835,trailingTP
323,31.925,324,31.455,trailingTP
330,31.845,331,31.76,trailingTP
385,32.64,386,32.79,trailingTP
393,31.79,394,31.655,trailingTP
403,31.755,404,31.54,trailingTP
427,32.9,428,34.13,trailingTP
456,34.98,457,34.69,trailingTP
484,36.2,485,36.18,trailingTP
495,36.265,496,36.27,trailingTP
504,36.46,505,37.115,trailingTP
519,36.89,520,37.2,trailingTP
540,40.99,541,40.53,trailingTP
554,40.435,555,40.5,trailingTP
607,35.88,608,35.88,trailingTP
621,36.91,622,37.5,trailingTP
638,39.35,639,39.6,trailingTP
668,36.5,669,36.74,trailingTP
689,36.59,690,36.54,trailingTP
