entry_idx,entry_price,exit_idx,exit_price,reason
7,189.41,8,192.07,trailingTP
21,191.95,22,195.93,trailingTP
49,188.84,50,191.16,trailingTP
60,191.65,61,191.8,trailingTP
77,187.92,78,186.39,trailingTP
103,190.53,104,190.39,trailingTP
112,190.06,113,191.56,trailingTP
126,193.91,127,193.99,trailingTP
133,194.48,134,193.77,trailingTP
161,198.36,162,197.71,trailingTP
172,199.545,173,198.4,trailingTP
181,198.68,182,199.45,trailingTP
224,210.89,225,210.64,trailingTP
231,210.93,232,211.07,trailingTP
244,210.61,245,209.81,trailingTP
259,209.71,260,209.145,trailingTP
272,207.94,273,209.185,trailingTP
301,213.325,302,212.54,trailingTP
307,212.56,308,208.685,sellSignal
314,209.77,315,209.43,trailingTP
348,217.05,349,217.685,trailingTP
399,221.95,400,218.71,trailingTP
411,220.225,412,220.7,trailingTP
457,233.245,458,232.89,trailingTP
477,233.455,478,232.255,trailingTP
507,227.76,508,227.19,trailingTP
544,229.595,545,228.23,trailingTP
574,227.53,575,228.725,trailingTP
596,216.3,597,216.56,trailingTP
610,218.09,611,218.66,trailingTP
628,218.64,629,218.67,trailingTP
656,234.85,657,232.42,trailingTP
686,234.11,687,236.1,trailingTP
702,233.36,703,232.235,trailingTP
