entry_idx,entry_price,exit_idx,exit_price,reason
2,122.905,3,122.97,trailingTP
16,119.825,17,119.92,trailingTP
23,119.31,24,118.14,trailingTP
29,118.61,30,118.585,trailingTP
39,121.995,40,121.26,trailingTP
44,122.305,45,121.34,trailingTP
70,118.57,71,117.775,trailingTP
96,113.5,97,115.51,trailingTP
119,124.315,120,123.51,trailingTP
138,126.52,139,126.4,trailingTP
166,130.17,167,129.835,trailingTP
180,134.18,181,133.34,trailingTP
188,133.935,189,134.06,trailingTP
205,137.805,206,138.255,trailingTP
220,140.09,221,139.65,trailingTP
235,141.55,236,142.05,trailingTP
246,139.645,247,140.8,trailingTP
