entry_idx,entry_price,exit_idx,exit_price,reason
14,11.865,15,11.8,trailingTP
70,10.645,71,10.62,trailingTP
78,10.7,79,10.74,trailingTP
122,10.53,123,10.685,trailingTP
138,10.325,139,10.34,trailingTP
159,11.53,160,11.72,trailingTP
175,12.55,176,12.2,trailingTP
232,12.7,233,12.7,trailingTP
259,12.885,260,12.73,trailingTP
287,13.025,288,13.24,trailingTP
297,12.84,298,12.835,trailingTP
304,12.89,305,12.97,trailingTP
324,12.95,325,12.925,trailingTP
329,13.37,330,13.635,trailingTP
344,12.83,345,12.74,trailingTP
364,13.175,365,13.39,trailingTP
380,13.98,381,13.985,trailingTP
388,14.4,389,14.115,trailingTP
400,13.02,401,13.18,trailingTP
411,13.12,412,13.21,trailingTP
442,14.585,443,14.6,trailingTP
462,14.725,463,14.87,trailingTP
483,15.86,484,15.355,trailingTP
518,17.32,519,17.58,trailingTP
539,16.85,540,16.8,trailingTP
569,17.23,570,17.21,trailingTP
581,17.46,582,17.74,trailingTP
604,17.19,605,17.61,trailingTP
620,15.115,621,15.18,trailingTP
640,14.895,641,14.74,trailingTP
658,14.16,659,13.97,trailingTP
668,13.82,669,13.85,trailingTP
