entry_idx,entry_price,exit_idx,exit_price,reason
3,121.39,4,121.62,trailingTP
15,117.03,16,116.92,trailingTP
51,120.02,52,120.22,trailingTP
61,118.67,62,118.64,trailingTP
70,121.505,71,122.92,trailingTP
103,126.715,104,126.88,trailingTP
113,125.08,114,125.055,trailingTP
126,126.68,127,124.44,trailingTP
207,133.31,208,132.77,trailingTP
224,132.11,225,133.11,trailingTP
239,137.255,240,137.27,trailingTP
265,139.505,266,139.49,trailingTP
274,141.67,275,144.04,trailingTP
301,150.57,302,151.29,trailingTP
322,154.32,323,154.26,trailingTP
340,153.315,341,153.2,trailingTP
345,154.15,346,153.01,trailingTP
357,152.83,358,154.555,trailingTP
368,153.85,369,153.77,trailingTP
405,160.18,406,159.91,trailingTP
427,168.61,428,170.84,trailingTP
440,167.6,441,168.16,trailingTP
464,168.6,465,168.51,trailingTP
479,163.2,480,163.04,trailingTP
519,177.29,520,177.63,trailingTP
534,163.67,535,159.74,trailingTP
568,156.77,569,157.405,trailingTP
596,162.51,597,159.66,sellSignal
604,159.095,605,159.575,trailingTP
624,161.39,625,165.51,trailingTP
639,170.77,640,172.985,trailingTP
670,167.05,671,166.98,trailingTP
695,163.96,696,164.18,trailingTP
