entry_idx,entry_price,exit_idx,exit_price,reason
2,39.915,3,39.685,trailingTP
10,40.53,11,40.5,trailingTP
16,39.895,17,39.93,trailingTP
23,39.57,24,38.94,sellSignal
29,38.95,30,38.865,trailingTP
39,40.585,40,40.43,trailingTP
70,38.31,71,37.645,trailingTP
87,35.33,88,33.81,trailingTP
96,35.12,97,36.23,trailingTP
119,40.75,120,40.525,trailingTP
138,43.105,139,43.07,trailingTP
153,43.95,154,44.41,trailingTP
166,44.33,167,44.155,trailingTP
180,44.945,181,44.77,trailingTP
189,45.42,190,46.11,trailingTP
220,51.27,221,51.0,trailingTP
224,51.97,225,53.08,trailingTP
235,52.12,236,51.605,trailingTP
247,49.66,248,50.125,trailingTP
