entry_idx,entry_price,exit_idx,exit_price,reason
7,325.905,8,322.53,trailingTP
21,322.66,22,323.37,trailingTP
49,315.06,50,318.96,trailingTP
70,322.8,71,322.18,trailingTP
103,328.96,104,328.965,trailingTP
117,328.7,118,330.9,trailingTP
126,380.755,127,398.57,trailingTP
139,401.635,140,412.19,trailingTP
174,438.8,175,439.72,trailingTP
193,434.68,194,434.55,trailingTP
237,467.29,238,465.935,trailingTP
252,448.75,253,448.19,trailingTP
281,453.705,282,449.15,trailingTP
287,453.76,288,452.22,trailingTP
294,456.31,295,453.835,trailingTP
306,455.14,307,452.25,trailingTP
315,462.955,316,457.31,trailingTP
336,473.145,337,470.46,trailingTP
370,451.92,371,454.19,trailingTP
392,456.77,393,457.625,trailingTP
413,448.37,414,449.025,trailingTP
438,455.18,439,461.225,trailingTP
451,458.07,452,455.58,trailingTP
469,457.67,470,457.64,trailingTP
490,472.35,491,474.02,trailingTP
497,479.69,498,482.28,trailingTP
504,486.11,505,486.915,trailingTP
545,466.31,546,464.39,trailingTP
552,470.055,553,471.06,trailingTP
567,478.08,568,475.53,trailingTP
584,454.52,585,457.87,trailingTP
603,436.83,604,436.62,trailingTP
620,439.28,621,442.69,trailingTP
632,453.51,633,452.975,trailingTP
650,458.36,651,457.885,trailingTP
666,466.37,667,467.33,trailingTP
678,466.82,679,456.32,trailingTP
693,444.56,694,441.6,trailingTP
706,435.41,707,443.05,trailingTP
