entry_idx,entry_price,exit_idx,exit_price,reason
7,193.25,8,195.2,trailingTP
37,197.695,38,198.07,trailingTP
52,194.075,53,193.85,trailingTP
70,193.43,71,193.32,trailingTP
85,188.21,86,188.87,trailingTP
105,189.91,106,190.08,trailingTP
120,190.48,121,190.39,trailingTP
140,181.465,141,181.24,trailingTP
162,185.95,163,183.53,trailingTP
184,188.19,185,188.82,trailingTP
202,189.81,203,188.31,trailingTP
206,166.17,207,162.81,trailingTP
241,161.05,242,164.375,trailingTP
256,163.53,257,164.31,trailingTP
270,164.63,271,164.595,trailingTP
296,156.21,297,156.64,trailingTP
320,163.98,321,163.42,trailingTP
346,170.14,347,170.555,trailingTP
409,201.39,410,200.555,trailingTP
424,208.535,425,207.485,trailingTP
431,210.86,432,212.03,trailingTP
446,218.34,447,218.3,trailingTP
468,216.86,469,216.415,trailingTP
487,219.15,488,217.92,trailingTP
502,225.02,503,223.37,trailingTP
522,228.37,523,231.005,trailingTP
542,220.55,564,228.8,sellSignal
571,234.96,572,233.465,trailingTP
586,236.55,587,234.35,trailingTP
592,234.6,593,237.0,trailingTP
606,237.205,607,238.815,trailingTP
627,230.01,628,234.51,trailingTP
656,226.0,657,217.96,sellSignal
663,226.08,664,230.215,trailingTP
676,226.33,677,225.15,trailingTP
695,227.32,696,224.73,trailingTP
