entry_idx,entry_price,exit_idx,exit_price,reason
8,136.95,9,136.43,trailingTP
48,154.17,49,155.485,trailingTP
62,157.52,63,160.12,trailingTP
79,159.65,80,157.7,trailingTP
92,156.705,93,157.46,trailingTP
134,181.0,135,180.57,trailingTP
145,173.195,146,172.14,trailingTP
163,176.97,164,175.98,trailingTP
175,166.57,176,171.78,trailingTP
204,183.21,205,182.86,trailingTP
246,165.21,247,162.74,trailingTP
268,166.3,269,166.56,trailingTP
298,161.3,299,160.54,trailingTP
333,152.8,334,153.85,trailingTP
359,157.975,360,159.53,trailingTP
391,157.25,392,157.905,trailingTP
424,160.13,425,160.92,trailingTP
436,162.73,437,163.71,trailingTP
451,162.205,452,162.325,trailingTP
472,222.01,473,208.145,sellSignal
480,214.31,481,213.46,trailingTP
516,220.75,517,219.45,trailingTP
524,230.61,525,236.8,trailingTP
547,237.71,548,239.24,trailingTP
570,233.62,571,233.47,trailingTP
593,259.675,594,258.4,trailingTP
626,259.48,627,254.39,sellSignal
634,260.41,635,250.61,sellSignal
636,255.64,637,255.8,trailingTP
647,256.74,648,258.61,trailingTP
667,233.56,668,234.46,trailingTP
680,245.0,681,239.875,trailingTP
703,246.84,704,248.98,trailingTP
722,233.89,723,232.29,trailingTP
735,231.96,736,232.0,trailingTP
755,211.69,756,211.42,trailingTP
770,206.125,771,204.34,trailingTP
