entry_idx,entry_price,exit_idx,exit_price,reason
8,22.2,9,22.27,trailingTP
18,22.17,19,22.13,trailingTP
33,21.975,34,21.87,trailingTP
40,21.405,41,21.325,trailingTP
55,21.215,56,21.425,trailingTP
70,21.9,71,21.86,trailingTP
104,21.175,105,21.38,trailingTP
112,26.02,113,25.24,trailingTP
145,22.275,146,22.355,trailingTP
161,23.285,162,22.62,trailingTP
183,24.05,184,24.12,trailingTP
217,24.115,218,23.96,trailingTP
236,23.15,237,23.22,trailingTP
252,24.36,253,24.43,trailingTP
285,23.76,286,23.9,trailingTP
296,23.99,297,23.93,trailingTP
307,24.63,308,24.91,trailingTP
329,25.105,330,24.92,trailingTP
364,27.86,365,28.27,trailingTP
379,29.12,380,29.56,trailingTP
402,29.29,403,29.13,trailingTP
429,28.47,430,28.94,trailingTP
450,30.43,451,30.265,trailingTP
464,30.36,465,30.14,trailingTP
485,30.04,486,30.28,trailingTP
496,30.28,497,30.33,trailingTP
520,32.67,521,32.58,trailingTP
541,31.575,542,31.57,trailingTP
564,32.39,565,32.42,trailingTP
590,36.76,591,37.07,trailingTP
605,36.48,606,36.67,trailingTP
623,34.53,624,34.78,trailingTP
670,30.86,671,30.81,trailingTP
690,31.73,691,31.89,trailingTP
