entry_idx,entry_price,exit_idx,exit_price,reason
9,16.215,10,16.285,trailingTP
21,16.69,22,16.875,trailingTP
39,18.415,40,18.595,trailingTP
54,18.27,55,18.345,trailingTP
77,18.79,78,19.14,trailingTP
89,19.595,90,19.27,trailingTP
126,17.26,127,17.085,trailingTP
140,16.39,141,16.44,trailingTP
159,21.395,160,19.98,sellSignal
187,20.34,188,20.4,trailingTP
201,20.6,202,20.8,trailingTP
210,22.855,211,22.565,trailingTP
214,22.78,215,22.865,trailingTP
226,22.735,227,22.54,trailingTP
264,25.1,265,24.84,trailingTP
285,25.705,286,25.75,trailingTP
304,25.77,305,25.91,trailingTP
311,24.44,312,24.28,trailingTP
321,27.38,322,27.77,trailingTP
331,27.965,332,28.01,trailingTP
339,27.825,340,27.66,trailingTP
360,29.225,361,29.11,trailingTP
377,31.17,378,31.8,trailingTP
391,32.145,392,32.195,trailingTP
398,33.29,399,34.435,trailingTP
424,33.79,425,33.61,trailingTP
442,37.2,443,37.335,trailingTP
461,39.99,462,38.86,sellSignal
470,39.36,471,40.18,trailingTP
483,43.415,484,43.305,trailingTP
491,41.67,492,41.495,trailingTP
498,43.81,499,42.775,trailingTP
502,43.685,503,43.255,trailingTP
518,41.58,519,41.53,trailingTP
527,39.63,528,39.28,trailingTP
539,38.99,540,39.04,trailingTP
557,41.9,558,41.81,trailingTP
563,41.98,564,41.38,trailingTP
567,41.29,568,41.285,trailingTP
582,39.77,583,39.715,trailingTP
587,39.51,588,39.385,trailingTP
604,36.695,605,36.82,trailingTP
621,35.695,622,35.22,trailingTP
633,35.1,634,35.02,trailingTP
652,32.34,653,33.0,trailingTP
667,31.19,668,31.31,trailingTP
679,32.48,680,32.35,trailingTP
689,31.265,690,31.33,trailingTP
