entry_idx,entry_price,exit_idx,exit_price,reason
23,17.75,24,17.71,trailingTP
33,17.615,34,17.545,trailingTP
40,17.485,41,17.38,trailingTP
50,17.46,51,17.49,trailingTP
72,17.295,73,17.285,trailingTP
77,17.285,78,17.27,trailingTP
84,17.46,85,17.73,trailingTP
115,18.065,116,18.22,trailingTP
129,18.27,130,18.22,trailingTP
140,18.23,141,18.24,trailingTP
147,18.21,148,18.275,trailingTP
154,18.65,155,18.515,trailingTP
161,18.48,162,18.565,trailingTP
203,19.0,204,19.06,trailingTP
224,19.12,225,19.05,trailingTP
258,19.98,259,19.855,trailingTP
264,19.86,265,19.93,trailingTP
283,19.95,284,19.96,trailingTP
294,19.58,295,19.55,trailingTP
311,19.605,312,19.605,trailingTP
329,20.05,330,20.32,trailingTP
338,20.385,339,20.34,trailingTP
347,20.52,348,20.47,trailingTP
356,20.405,357,20.67,trailingTP
382,20.48,383,20.505,trailingTP
407,20.795,408,20.825,trailingTP
420,21.18,421,21.23,trailingTP
439,20.96,440,21.13,trailingTP
451,20.835,452,20.87,trailingTP
462,20.97,463,21.03,trailingTP
482,21.2,483,21.39,trailingTP
497,21.235,498,21.365,trailingTP
532,22.52,533,22.505,trailingTP
554,22.82,555,22.68,trailingTP
582,22.95,583,22.99,trailingTP
589,22.95,590,22.92,trailingTP
597,22.625,598,22.66,trailingTP
617,22.905,618,22.975,trailingTP
631,23.425,632,23.465,trailingTP
645,23.475,646,23.345,trailingTP
666,23.545,667,23.585,trailingTP
693,23.07,694,23.1,trailingTP
716,23.115,717,23.08,trailingTP
