entry_idx,entry_price,exit_idx,exit_price,reason
13,86.99,14,86.285,trailingTP
30,88.42,31,89.49,trailingTP
56,91.93,57,91.62,trailingTP
71,95.87,72,94.84,trailingTP
105,95.94,106,97.24,trailingTP
121,98.25,122,98.57,trailingTP
140,95.495,141,94.55,trailingTP
179,100.79,180,100.97,trailingTP
185,102.64,186,102.625,trailingTP
194,101.665,195,101.33,trailingTP
200,97.93,201,98.15,trailingTP
210,96.44,211,97.41,trailingTP
233,92.2,234,92.01,trailingTP
255,99.87,256,99.245,trailingTP
268,97.91,269,98.41,trailingTP
292,93.275,293,92.29,trailingTP
311,95.74,312,96.04,trailingTP
322,97.21,323,97.83,trailingTP
356,86.69,357,86.36,trailingTP
364,88.125,365,87.865,trailingTP
385,89.145,386,89.155,trailingTP
392,89.77,393,89.26,trailingTP
405,87.865,406,86.99,trailingTP
420,85.24,421,84.23,trailingTP
440,85.65,441,85.64,trailingTP
445,85.84,446,85.12,trailingTP
475,76.915,476,75.9,trailingTP
483,75.26,484,74.05,sellSignal
494,72.92,495,72.68,trailingTP
526,68.27,527,67.96,trailingTP
587,72.58,588,69.8,sellSignal
601,68.63,602,68.245,trailingTP
616,70.36,617,69.99,trailingTP
637,71.84,638,70.89,trailingTP
668,70.47,669,69.91,trailingTP
686,69.11,687,68.12,trailingTP
700,79.62,701,84.69,trailingTP
