entry_idx,entry_price,exit_idx,exit_price,reason
4,2.32,5,2.38,trailingTP
14,2.69,15,2.71,trailingTP
35,2.79,36,2.87,trailingTP
46,2.705,47,2.63,sellSignal
48,2.835,49,2.78,trailingTP
62,2.72,63,2.685,trailingTP
71,2.58,72,2.6,trailingTP
80,2.65,81,2.76,trailingTP
86,2.86,87,2.89,trailingTP
100,2.92,101,2.84,sellSignal
108,2.71,109,2.73,trailingTP
122,2.66,123,2.635,trailingTP
130,2.67,131,2.675,trailingTP
142,2.68,143,2.58,trailingTP
153,2.72,154,2.89,trailingTP
164,2.93,165,2.71,trailingTP
172,2.78,173,2.71,trailingTP
184,2.76,185,2.75,trailingTP
196,2.57,197,2.55,trailingTP
206,2.42,207,2.45,trailingTP
215,2.42,216,2.31,sellSignal
220,2.36,221,2.49,trailingTP
226,2.44,227,2.4,trailingTP
236,2.33,237,2.33,trailingTP
242,2.34,243,2.35,trailingTP
252,2.27,253,2.29,trailingTP
258,2.3,259,2.29,trailingTP
269,2.38,270,2.35,trailingTP
275,2.385,276,2.37,trailingTP
297,2.4,298,2.37,sellSignal
302,2.35,303,2.35,trailingTP
317,2.28,318,2.24,sellSignal
328,2.15,329,2.1,sellSignal
333,2.02,334,2.05,trailingTP
337,2.045,338,2.04,trailingTP
370,2.23,371,2.25,trailingTP
386,2.28,387,2.26,trailingTP
391,2.61,392,2.39,trailingTP
400,1.78,401,1.73,trailingTP
442,2.045,443,2.02,trailingTP
461,2.03,462,2.03,trailingTP
482,2.135,483,2.11,trailingTP
487,2.19,488,2.225,trailingTP
503,2.05,504,1.99,trailingTP
511,2.06,512,2.01,trailingTP
519,1.975,520,1.93,sellSignal
523,1.98,524,2.04,trailingTP
531,2.06,532,2.02,trailingTP
550,2.37,551,2.365,trailingTP
555,2.41,556,2.37,trailingTP
578,3.78,579,3.7,trailingTP
602,4.41,603,4.7,trailingTP
