entry_idx,entry_price,exit_idx,exit_price,reason
14,97.915,15,97.58,trailingTP
29,98.79,30,98.73,trailingTP
55,100.55,56,101.255,trailingTP
84,108.0,85,106.82,sellSignal
92,103.47,93,102.82,trailingTP
127,107.145,128,107.425,trailingTP
141,107.51,142,108.035,trailingTP
187,110.95,188,111.28,trailingTP
195,109.67,196,109.77,trailingTP
211,110.06,212,110.59,trailingTP
231,108.67,232,108.615,trailingTP
246,111.045,247,110.77,trailingTP
267,110.855,268,111.36,trailingTP
287,109.22,288,109.99,trailingTP
310,111.49,311,110.795,trailingTP
344,119.4,345,120.04,trailingTP
365,120.07,366,120.58,trailingTP
382,123.54,383,123.4,trailingTP
406,122.33,407,122.5,trailingTP
421,123.0,422,122.905,trailingTP
443,124.44,444,123.88,trailingTP
450,124.01,451,124.33,trailingTP
484,124.41,485,123.975,trailingTP
494,123.805,495,124.145,trailingTP
498,126.72,499,126.41,trailingTP
520,127.265,521,126.86,trailingTP
533,130.11,534,126.59,trailingTP
554,136.92,555,136.26,trailingTP
589,141.325,590,141.16,trailingTP
603,139.905,604,140.42,trailingTP
617,138.37,618,137.26,sellSignal
623,138.0,624,139.105,trailingTP
674,135.48,675,135.64,trailingTP
695,136.14,696,136.2,trailingTP
706,137.44,707,137.935,trailingTP
