entry_idx,entry_price,exit_idx,exit_price,reason
22,9.465,23,9.51,trailingTP
41,9.565,42,9.51,trailingTP
65,10.725,66,11.06,trailingTP
72,11.61,73,11.955,trailingTP
107,10.965,108,11.12,trailingTP
132,10.275,133,10.25,trailingTP
142,12.54,145,13.39,trailingTP
159,13.41,160,13.34,trailingTP
195,14.25,196,14.005,trailingTP
232,14.965,233,16.75,trailingTP
253,15.73,254,15.44,trailingTP
280,16.33,281,16.21,trailingTP
290,16.55,291,16.7,trailingTP
309,15.64,310,15.41,trailingTP
344,14.9,345,14.42,sellSignal
349,14.775,350,15.19,trailingTP
367,18.06,368,18.43,trailingTP
395,19.905,396,19.83,trailingTP
424,24.89,425,24.11,sellSignal
450,22.09,451,21.95,trailingTP
483,27.74,484,28.25,trailingTP
504,27.935,505,28.16,trailingTP
531,36.1,532,37.88,trailingTP
537,39.47,538,39.555,trailingTP
559,35.22,560,35.675,trailingTP
573,34.01,574,33.265,trailingTP
582,31.98,583,33.27,trailingTP
597,34.61,598,34.325,trailingTP
615,35.995,616,35.2,trailingTP
624,34.9,625,34.33,trailingTP
630,36.18,631,36.09,trailingTP
646,33.535,647,32.27,trailingTP
654,32.83,655,33.165,trailingTP
675,31.03,676,30.98,trailingTP
713,23.085,714,23.515,trailingTP
736,23.78,737,23.41,trailingTP
761,22.76,762,23.21,trailingTP
775,23.72,776,24.27,trailingTP
