entry_idx,entry_price,exit_idx,exit_price,reason
1,30.63,2,30.97,trailingTP
22,30.83,23,31.0,trailingTP
35,29.77,36,30.06,trailingTP
63,28.935,64,28.715,trailingTP
83,29.44,84,29.4,trailingTP
98,29.825,99,29.79,trailingTP
137,27.5,138,27.595,trailingTP
158,30.675,159,30.26,trailingTP
187,28.6,188,28.71,trailingTP
229,28.905,230,28.89,trailingTP
254,29.16,255,29.23,trailingTP
285,30.685,286,30.495,trailingTP
291,30.2,292,29.93,trailingTP
306,31.68,307,31.87,trailingTP
329,31.45,330,31.52,trailingTP
347,30.81,348,30.67,trailingTP
374,33.1,375,33.95,trailingTP
421,30.59,422,30.795,trailingTP
428,30.64,429,30.74,trailingTP
434,30.59,435,30.69,trailingTP
446,30.275,447,30.71,trailingTP
466,29.76,467,29.865,trailingTP
477,28.72,478,28.5,trailingTP
496,27.8,497,27.665,trailingTP
504,27.79,505,27.8,trailingTP
568,29.925,569,29.75,trailingTP
578,29.94,579,30.12,trailingTP
593,29.29,594,28.96,sellSignal
600,34.805,601,34.815,trailingTP
643,43.0,644,43.18,trailingTP
658,42.28,659,42.53,trailingTP
679,40.925,680,41.05,trailingTP
692,42.445,693,42.48,trailingTP
