entry_idx,entry_price,exit_idx,exit_price,reason
7,349.9,8,343.325,trailingTP
27,346.73,28,338.93,trailingTP
35,352.61,36,357.115,trailingTP
50,355.05,51,350.675,trailingTP
84,356.2,85,358.72,trailingTP
126,395.45,127,393.38,trailingTP
140,389.11,141,386.15,trailingTP
154,389.87,155,382.815,trailingTP
162,426.375,163,443.17,trailingTP
194,449.94,195,447.4,trailingTP
205,436.65,206,434.525,trailingTP
228,406.59,229,408.51,trailingTP
267,472.33,268,479.42,trailingTP
285,477.95,286,477.95,trailingTP
309,551.05,310,541.51,trailingTP
363,603.665,364,606.52,trailingTP
388,658.095,389,663.44,trailingTP
403,629.53,404,623.47,trailingTP
462,625.2,463,638.95,trailingTP
491,581.22,492,569.95,trailingTP
495,582.87,496,587.25,trailingTP
500,592.21,501,590.06,trailingTP
540,567.16,541,559.01,trailingTP
584,632.33,585,635.8,trailingTP
589,644.11,590,649.34,trailingTP
615,619.12,616,618.01,trailingTP
629,610.48,630,620.56,trailingTP
661,566.26,662,564.185,trailingTP
682,543.425,683,529.775,sellSignal
688,557.91,689,553.41,trailingTP
702,539.07,703,543.32,trailingTP
714,554.08,715,555.88,trailingTP
