entry_idx,entry_price,exit_idx,exit_price,reason
1,0.8461,2,0.8545,trailingTP
5,0.8525,6,0.8417,trailingTP
8,0.8586,9,0.861,trailingTP
17,0.9522,18,0.9498,trailingTP
37,1.185,38,1.31,trailingTP
51,1.38,52,1.39,trailingTP
65,1.515,66,1.52,trailingTP
78,1.435,79,1.47,trailingTP
103,1.205,104,1.135,sellSignal
118,1.04,119,1.065,trailingTP
139,1.24,140,1.165,trailingTP
153,1.36,154,1.35,trailingTP
160,1.44,161,1.45,trailingTP
174,1.71,175,1.75,trailingTP
184,1.675,185,1.69,trailingTP
194,1.73,195,1.53,sellSignal
209,1.45,210,1.42,trailingTP
220,1.325,221,1.33,trailingTP
253,2.4,254,2.285,trailingTP
292,1.84,293,1.885,trailingTP
301,1.865,302,1.8,trailingTP
324,2.08,325,2.03,trailingTP
337,2.32,338,2.345,trailingTP
365,2.665,366,2.75,trailingTP
386,2.825,387,2.87,trailingTP
394,2.925,395,2.86,trailingTP
407,3.02,408,3.175,trailingTP
428,2.92,429,2.77,trailingTP
456,4.04,457,3.77,trailingTP
478,4.565,479,4.47,trailingTP
516,4.365,517,4.605,trailingTP
533,4.01,534,3.835,trailingTP
540,3.985,541,3.8,trailingTP
552,3.375,553,3.41,trailingTP
576,3.875,577,3.765,trailingTP
612,3.79,613,3.88,trailingTP
656,3.155,657,3.01,trailingTP
695,2.83,696,2.61,sellSignal
712,2.78,713,2.79,trailingTP
