entry_idx,entry_price,exit_idx,exit_price,reason
6,546.425,7,539.91,trailingTP
30,563.38,31,561.61,trailingTP
45,567.34,46,570.635,trailingTP
58,572.77,59,569.62,trailingTP
75,570.41,76,571.82,trailingTP
81,576.44,82,571.23,trailingTP
111,596.67,112,597.01,trailingTP
122,672.3,123,677.16,trailingTP
131,680.71,132,675.99,trailingTP
140,684.955,141,685.87,trailingTP
176,638.8,177,643.955,trailingTP
186,644.465,187,649.97,trailingTP
215,656.22,216,657.0,trailingTP
223,658.36,224,661.71,trailingTP
239,700.285,240,693.66,trailingTP
246,696.3,247,696.2,trailingTP
259,708.3,260,699.65,sellSignal
269,711.3,270,712.13,trailingTP
280,706.01,281,709.725,trailingTP
311,764.33,312,766.49,trailingTP
340,756.54,341,755.015,trailingTP
348,754.71,349,748.23,sellSignal
359,730.99,360,728.45,trailingTP
369,737.92,370,737.99,trailingTP
378,740.0,379,739.735,trailingTP
392,710.805,393,709.18,trailingTP
401,718.41,402,719.47,trailingTP
448,797.9,449,796.68,trailingTP
457,807.57,458,799.97,trailingTP
471,803.96,472,808.775,trailingTP
480,805.38,481,806.12,trailingTP
536,817.36,537,817.215,trailingTP
542,830.6,543,829.975,trailingTP
565,820.1,566,815.38,trailingTP
572,820.43,573,830.06,trailingTP
594,845.72,595,851.365,trailingTP
607,853.805,608,859.55,trailingTP
637,898.59,638,907.45,trailingTP
658,926.34,659,922.52,trailingTP
664,929.56,665,925.52,trailingTP
683,913.2,684,906.23,trailingTP
690,915.88,691,917.83,trailingTP
