entry_idx,entry_price,exit_idx,exit_price,reason
6,16.835,7,17.28,trailingTP
35,18.525,36,18.99,trailingTP
49,18.105,50,18.2,trailingTP
84,15.36,85,16.45,trailingTP
96,16.16,97,16.265,trailingTP
106,16.31,107,16.12,trailingTP
119,16.51,120,16.32,trailingTP
128,15.94,129,15.99,trailingTP
139,15.92,140,16.08,trailingTP
171,16.1,172,16.25,trailingTP
203,18.96,204,19.21,trailingTP
226,20.17,227,20.2,trailingTP
232,20.205,233,20.47,trailingTP
253,20.97,254,20.935,trailingTP
279,22.04,280,23.88,trailingTP
321,27.74,322,28.2,trailingTP
332,28.53,333,28.815,trailingTP
352,28.815,353,29.09,trailingTP
365,30.93,366,30.58,trailingTP
378,31.2,379,31.08,trailingTP
409,32.405,410,32.24,trailingTP
441,34.935,442,35.325,trailingTP
464,36.95,465,36.73,trailingTP
483,36.015,484,35.96,trailingTP
492,35.82,493,35.89,trailingTP
519,38.09,520,38.13,trailingTP
543,37.87,544,37.43,trailingTP
552,37.98,553,39.48,trailingTP
570,39.87,571,40.63,trailingTP
602,38.96,603,39.145,trailingTP
621,39.19,622,39.23,trailingTP
632,40.82,633,40.98,trailingTP
647,41.27,648,40.87,trailingTP
668,42.49,669,42.19,trailingTP
686,38.93,687,38.4,trailingTP
