entry_idx,entry_price,exit_idx,exit_price,reason
8,10.48,9,10.41,trailingTP
21,10.105,22,10.32,trailingTP
40,10.295,41,10.225,trailingTP
56,9.95,57,9.89,trailingTP
77,10.05,78,10.055,trailingTP
91,10.445,92,10.39,sellSignal
97,10.22,98,10.27,trailingTP
103,10.32,104,10.435,trailingTP
111,10.44,112,10.41,trailingTP
127,11.035,128,11.1,trailingTP
138,10.91,139,11.05,trailingTP
166,10.95,167,10.67,sellSignal
179,10.44,180,10.6,trailingTP
191,10.54,192,10.585,trailingTP
202,10.57,203,10.68,trailingTP
208,10.84,209,10.98,trailingTP
221,10.92,222,10.88,trailingTP
247,11.45,248,11.46,trailingTP
257,11.46,258,11.49,trailingTP
268,11.7,269,11.605,trailingTP
273,11.61,274,11.615,trailingTP
278,11.66,279,11.63,trailingTP
296,12.015,297,11.9,trailingTP
322,12.33,323,12.16,trailingTP
336,13.305,337,13.14,trailingTP
379,12.76,380,12.75,trailingTP
387,12.74,388,12.72,trailingTP
399,12.58,400,12.46,trailingTP
422,12.02,423,12.03,trailingTP
430,11.88,431,11.85,trailingTP
461,11.345,462,11.27,sellSignal
464,11.47,465,11.5,trailingTP
475,11.09,476,11.14,trailingTP
481,11.14,482,10.82,sellSignal
488,10.92,489,11.23,trailingTP
506,11.53,507,11.5,trailingTP
526,11.72,527,11.63,trailingTP
546,12.38,547,12.32,trailingTP
578,12.59,579,12.45,trailingTP
592,12.27,593,12.185,trailingTP
596,12.35,597,12.36,trailingTP
621,12.97,622,12.86,trailingTP
645,12.87,646,12.85,trailingTP
669,13.22,670,13.03,trailingTP
677,12.8,678,12.81,trailingTP
686,12.79,687,12.87,trailingTP
