entry_idx,entry_price,exit_idx,exit_price,reason
11,9.01,12,9.005,trailingTP
23,9.64,24,9.7,trailingTP
35,9.71,36,9.73,trailingTP
70,11.05,71,11.45,trailingTP
83,11.24,84,11.34,trailingTP
94,11.16,95,11.29,trailingTP
119,10.89,120,10.87,trailingTP
135,10.73,136,10.84,trailingTP
158,11.085,159,11.08,trailingTP
175,12.89,176,12.735,trailingTP
182,13.1,183,13.315,trailingTP
206,13.72,207,13.67,trailingTP
222,13.62,223,13.695,trailingTP
246,15.46,247,15.29,trailingTP
265,14.86,266,14.79,trailingTP
279,14.755,280,15.34,trailingTP
293,14.65,294,14.71,trailingTP
320,15.335,321,15.595,trailingTP
335,15.87,336,15.76,trailingTP
350,15.35,351,15.285,trailingTP
411,15.4,412,15.33,trailingTP
424,15.45,425,15.39,trailingTP
441,15.25,442,15.43,trailingTP
460,14.42,461,14.47,trailingTP
484,14.09,485,14.16,trailingTP
510,15.01,511,15.06,trailingTP
516,15.2,517,15.215,trailingTP
583,18.86,584,18.855,trailingTP
593,18.95,594,18.905,trailingTP
633,18.8,634,18.81,trailingTP
682,23.24,683,23.21,trailingTP
695,23.04,696,23.16,trailingTP
717,21.51,718,21.45,trailingTP
