entry_idx,entry_price,exit_idx,exit_price,reason
15,277.57,16,275.12,trailingTP
40,276.355,41,276.65,trailingTP
58,280.8,59,284.795,trailingTP
73,287.07,74,289.49,trailingTP
90,280.33,91,280.39,trailingTP
148,296.06,149,296.84,trailingTP
164,298.36,165,300.02,trailingTP
194,308.24,195,309.245,trailingTP
205,309.075,206,312.15,trailingTP
219,306.16,220,300.16,sellSignal
240,291.145,241,288.32,trailingTP
272,300.04,273,299.35,trailingTP
296,298.28,297,295.51,trailingTP
307,304.2,308,305.045,trailingTP
335,347.25,336,360.55,trailingTP
428,337.455,429,335.76,trailingTP
442,329.8,443,327.235,trailingTP
476,334.595,477,336.49,trailingTP
501,355.705,502,355.73,trailingTP
516,354.27,517,358.11,trailingTP
537,353.36,538,352.595,trailingTP
558,345.16,559,346.39,trailingTP
609,374.18,610,365.83,sellSignal
626,363.69,627,363.22,trailingTP
649,349.45,650,350.27,trailingTP
684,338.125,685,340.345,trailingTP
703,345.06,704,346.9,trailingTP
709,355.975,710,352.85,trailingTP
734,346.11,735,363.81,trailingTP
748,384.17,749,386.08,trailingTP
