entry_idx,entry_price,exit_idx,exit_price,reason
21,321.2,22,322.955,trailingTP
41,321.01,42,315.24,sellSignal
54,312.275,55,311.84,trailingTP
69,308.08,70,306.135,trailingTP
86,307.365,87,307.95,trailingTP
112,313.45,113,310.87,sellSignal
140,297.21,141,297.48,trailingTP
166,293.89,167,294.72,trailingTP
182,300.51,183,302.82,trailingTP
189,305.46,190,303.91,trailingTP
194,305.31,195,306.84,trailingTP
212,307.0,213,306.835,trailingTP
228,307.695,229,307.32,trailingTP
238,312.68,239,320.23,trailingTP
254,318.27,255,319.13,trailingTP
284,329.125,285,329.04,trailingTP
294,325.42,295,326.41,trailingTP
329,326.075,330,327.235,trailingTP
343,328.83,344,329.28,trailingTP
353,326.43,354,327.11,trailingTP
380,344.87,381,344.77,trailingTP
385,347.27,386,345.92,trailingTP
400,340.08,401,339.88,trailingTP
428,333.67,429,333.27,trailingTP
439,331.12,440,330.52,trailingTP
483,322.12,484,321.12,trailingTP
511,334.99,512,337.87,trailingTP
525,352.165,526,352.89,trailingTP
541,353.54,542,354.63,trailingTP
564,361.925,565,362.14,trailingTP
574,362.27,575,364.87,trailingTP
590,363.3,591,362.2,trailingTP
604,362.99,605,365.23,trailingTP
622,368.475,623,368.61,trailingTP
627,367.715,628,367.8,trailingTP
669,341.23,670,341.28,trailingTP
688,348.06,689,354.49,trailingTP
