entry_idx,entry_price,exit_idx,exit_price,reason
1,106.985,2,106.9,trailingTP
35,110.93,36,111.14,trailingTP
50,111.43,51,110.74,trailingTP
65,112.57,66,112.2,trailingTP
69,112.58,70,111.92,trailingTP
84,104.2,85,104.16,trailingTP
111,101.07,112,99.91,sellSignal
117,103.45,118,102.82,trailingTP
126,102.845,127,103.305,trailingTP
133,102.25,134,102.9,trailingTP
143,105.59,144,106.64,trailingTP
155,104.17,156,103.64,trailingTP
165,104.36,166,104.93,trailingTP
172,104.765,173,105.225,trailingTP
180,104.585,181,104.215,trailingTP
201,109.43,202,109.97,trailingTP
219,111.36,220,112.96,trailingTP
232,117.045,233,117.99,trailingTP
248,118.245,249,119.0,trailingTP
275,123.4,276,123.88,trailingTP
282,124.475,283,122.87,sellSignal
288,121.95,289,122.41,trailingTP
317,127.165,318,125.85,sellSignal
350,114.96,351,114.125,trailingTP
375,117.075,376,116.94,trailingTP
391,118.81,392,117.995,trailingTP
404,116.74,405,116.75,trailingTP
413,118.57,414,118.65,trailingTP
429,120.0,430,120.2,trailingTP
455,119.89,456,119.19,trailingTP
477,120.915,478,121.015,trailingTP
503,126.24,504,127.5,trailingTP
526,130.115,527,128.99,trailingTP
539,129.625,540,131.7,trailingTP
552,135.94,553,133.33,sellSignal
556,133.51,557,134.09,trailingTP
561,134.68,562,134.47,trailingTP
574,135.17,575,128.75,sellSignal
580,136.24,581,135.71,trailingTP
588,135.025,589,135.01,trailingTP
608,137.33,609,138.19,trailingTP
638,139.23,639,139.5,trailingTP
645,141.675,646,144.33,trailingTP
674,145.98,675,148.17,trailingTP
700,151.855,701,151.43,trailingTP
