entry_idx,entry_price,exit_idx,exit_price,reason
7,32.375,8,32.94,trailingTP
21,33.565,22,34.24,trailingTP
49,32.28,50,32.02,sellSignal
57,32.37,58,32.44,trailingTP
70,31.58,71,31.34,sellSignal
76,32.75,77,32.625,trailingTP
90,35.005,91,34.81,trailingTP
103,34.415,104,33.96,trailingTP
117,33.92,118,33.875,trailingTP
133,32.13,134,32.14,trailingTP
141,32.41,142,32.36,trailingTP
152,28.43,153,28.36,trailingTP
181,28.73,182,29.16,trailingTP
208,30.775,209,30.87,trailingTP
226,29.88,227,29.76,trailingTP
230,29.595,231,29.76,trailingTP
250,31.05,251,30.61,trailingTP
271,30.325,272,30.265,trailingTP
282,30.09,283,30.09,trailingTP
294,29.15,295,29.195,trailingTP
320,29.62,321,29.245,sellSignal
322,29.53,323,29.57,trailingTP
327,29.9,328,30.39,trailingTP
343,30.05,344,30.29,trailingTP
348,29.975,349,30.08,trailingTP
362,30.99,363,31.02,trailingTP
374,31.06,375,31.18,trailingTP
415,28.25,416,28.18,trailingTP
458,31.68,459,32.055,trailingTP
480,30.24,481,30.335,trailingTP
487,30.45,488,30.28,trailingTP
514,31.63,515,32.39,trailingTP
534,31.7,535,32.025,trailingTP
562,31.38,563,30.87,trailingTP
570,30.625,571,30.265,trailingTP
578,30.61,579,30.36,trailingTP
588,30.23,589,30.6,trailingTP
601,30.53,602,30.555,trailingTP
619,29.775,620,29.93,trailingTP
642,30.75,643,30.425,trailingTP
649,29.7,650,29.75,trailingTP
655,30.115,656,29.965,trailingTP
663,29.43,664,29.495,trailingTP
681,32.57,682,32.59,trailingTP
