entry_idx,entry_price,exit_idx,exit_price,reason
9,8.64,10,8.23,trailingTP
28,7.455,29,7.27,trailingTP
43,6.61,44,6.58,trailingTP
61,7.16,62,7.13,trailingTP
98,7.46,99,7.47,trailingTP
147,6.67,148,6.69,trailingTP
158,6.42,159,6.48,trailingTP
196,6.8,197,6.88,trailingTP
214,5.14,215,5.215,trailingTP
245,6.09,246,6.105,trailingTP
268,5.59,269,5.64,trailingTP
285,5.56,286,5.505,trailingTP
300,5.465,301,5.325,trailingTP
322,5.185,323,5.15,trailingTP
328,5.13,329,5.07,trailingTP
339,5.025,340,5.04,trailingTP
355,4.925,356,4.91,trailingTP
363,4.98,364,4.975,trailingTP
383,4.865,384,4.85,trailingTP
391,4.995,392,4.93,trailingTP
417,5.27,418,5.56,trailingTP
512,6.64,513,6.82,trailingTP
538,7.72,539,7.38,trailingTP
568,7.49,569,7.57,trailingTP
578,7.7,579,8.48,trailingTP
619,7.66,620,7.58,trailingTP
645,6.77,646,6.82,trailingTP
667,7.12,668,7.145,trailingTP
701,6.905,702,6.92,trailingTP
720,5.87,721,6.04,trailingTP
744,5.71,745,5.665,trailingTP
754,6.51,755,6.71,trailingTP
763,6.41,764,7.035,trailingTP
781,6.56,782,6.245,trailingTP
798,5.71,799,6.02,trailingTP
811,6.05,812,6.19,trailingTP
829,5.52,830,5.99,trailingTP
846,6.25,847,6.1,trailingTP
855,6.18,856,6.315,trailingTP
