entry_idx,entry_price,exit_idx,exit_price,reason
7,43.7,8,43.495,trailingTP
14,44.895,15,45.52,trailingTP
70,47.23,71,46.895,trailingTP
86,46.99,87,46.67,trailingTP
103,46.26,104,46.3,trailingTP
126,47.12,127,47.48,trailingTP
135,47.82,136,47.75,trailingTP
143,47.815,144,47.795,trailingTP
161,45.51,162,45.12,trailingTP
230,49.215,231,49.015,trailingTP
253,47.76,254,48.005,trailingTP
268,50.86,269,51.1,trailingTP
279,51.76,280,52.07,trailingTP
300,51.875,301,52.18,trailingTP
336,53.92,337,52.235,trailingTP
357,52.01,358,51.655,trailingTP
367,52.93,368,53.185,trailingTP
387,52.27,388,51.96,trailingTP
406,49.69,407,49.165,trailingTP
425,51.91,426,51.91,trailingTP
438,52.8,439,52.67,trailingTP
447,52.87,448,54.15,trailingTP
463,54.385,464,54.77,trailingTP
497,57.135,498,56.735,trailingTP
502,56.86,503,56.645,trailingTP
515,55.195,516,55.03,trailingTP
521,55.0,522,55.315,trailingTP
543,53.73,544,53.905,trailingTP
553,62.88,554,61.875,trailingTP
572,67.11,573,67.22,trailingTP
603,61.88,604,62.285,trailingTP
622,62.09,623,61.785,trailingTP
652,66.45,653,66.99,trailingTP
669,66.74,670,66.385,trailingTP
680,66.96,681,66.7,trailingTP
688,67.285,689,68.62,trailingTP
708,70.965,709,71.32,trailingTP
