entry_idx,entry_price,exit_idx,exit_price,reason
23,1.03,24,1.03,trailingTP
40,1.11,41,1.125,trailingTP
57,1.04,58,1.05,trailingTP
80,1.06,81,1.13,trailingTP
88,1.25,89,1.21,trailingTP
119,1.215,120,1.235,trailingTP
144,1.255,145,1.275,trailingTP
163,1.215,164,1.205,trailingTP
198,1.29,199,1.265,trailingTP
207,1.245,208,1.25,trailingTP
223,1.295,224,1.25,trailingTP
234,1.295,235,1.285,trailingTP
238,1.31,239,1.365,trailingTP
270,1.305,271,1.305,trailingTP
289,1.265,290,1.295,trailingTP
309,1.345,310,1.345,trailingTP
321,1.36,322,1.34,trailingTP
336,1.28,337,1.245,sellSignal
342,1.29,343,1.285,trailingTP
350,1.41,351,1.4,trailingTP
379,2.19,380,2.18,trailingTP
391,2.58,392,2.55,trailingTP
436,3.11,437,2.94,sellSignal
448,2.7,449,2.74,trailingTP
473,2.69,474,2.705,trailingTP
497,2.87,498,2.98,trailingTP
514,3.21,515,3.41,trailingTP
533,3.655,534,3.675,trailingTP
557,4.67,558,4.91,trailingTP
571,6.075,572,6.04,trailingTP
602,5.44,603,5.2,trailingTP
621,4.48,622,4.05,trailingTP
659,4.61,660,4.55,trailingTP
667,4.43,668,4.445,trailingTP
690,4.22,691,4.52,trailingTP
699,4.115,700,4.03,trailingTP
707,4.0,708,4.05,trailingTP
731,3.66,732,3.665,trailingTP
771,2.605,772,2.605,trailingTP
804,2.76,805,2.72,trailingTP
824,2.57,825,2.675,trailingTP
840,2.8,841,2.78,trailingTP
