entry_idx,entry_price,exit_idx,exit_price,reason
12,22.39,13,23.27,trailingTP
20,23.96,21,22.97,trailingTP
25,23.745,26,23.54,trailingTP
37,22.025,38,21.36,trailingTP
65,27.75,66,26.23,trailingTP
79,25.94,80,26.26,trailingTP
85,27.495,86,27.98,trailingTP
120,19.815,121,20.08,trailingTP
132,20.14,133,19.495,sellSignal
135,20.35,136,20.48,trailingTP
152,18.12,153,17.685,trailingTP
175,18.055,176,18.16,trailingTP
185,19.47,186,18.96,trailingTP
200,18.78,201,18.865,trailingTP
211,17.22,212,16.975,trailingTP
222,19.37,223,18.945,trailingTP
227,18.86,228,19.57,trailingTP
237,20.37,238,21.11,trailingTP
