entry_idx,entry_price,exit_idx,exit_price,reason
6,343.375,28,381.55,sellSignal
41,374.825,42,369.51,sellSignal
50,361.245,51,358.26,trailingTP
70,362.8,71,362.115,trailingTP
76,370.225,77,371.4,trailingTP
100,381.57,101,383.82,trailingTP
112,382.745,113,383.145,trailingTP
118,384.35,119,380.275,sellSignal
125,367.43,126,369.85,trailingTP
156,416.1,157,417.01,trailingTP
176,415.38,177,413.95,trailingTP
212,431.96,213,435.34,trailingTP
230,418.9,231,415.96,trailingTP
251,429.215,252,428.98,trailingTP
259,425.28,260,423.31,trailingTP
265,420.46,266,411.92,sellSignal
270,415.2,271,413.95,trailingTP
280,419.545,281,425.675,trailingTP
296,433.61,297,432.855,trailingTP
313,424.56,314,428.9,trailingTP
334,413.595,335,411.93,trailingTP
349,417.62,350,417.18,trailingTP
369,403.97,370,399.795,trailingTP
392,393.0,393,394.09,trailingTP
400,391.89,401,392.44,trailingTP
405,388.415,406,389.61,trailingTP
413,392.67,414,394.1,trailingTP
422,394.89,423,398.805,trailingTP
429,396.72,430,396.86,trailingTP
448,436.56,449,429.59,trailingTP
460,428.99,461,426.61,trailingTP
478,442.04,479,443.88,trailingTP
490,433.6,491,431.55,trailingTP
501,451.24,502,454.79,trailingTP
514,447.0,515,447.285,trailingTP
535,455.13,536,455.925,trailingTP
540,440.85,541,444.38,trailingTP
566,422.94,567,407.21,sellSignal
570,419.28,571,417.77,trailingTP
587,405.03,588,406.1,trailingTP
640,406.95,641,408.94,trailingTP
651,415.0,652,413.705,trailingTP
658,419.165,659,424.18,trailingTP
673,438.97,674,439.47,trailingTP
