entry_idx,entry_price,exit_idx,exit_price,reason
1,60.26,2,60.61,trailingTP
11,63.48,12,64.52,trailingTP
18,62.25,19,61.57,trailingTP
24,63.875,25,64.905,trailingTP
41,72.0,42,71.75,trailingTP
46,72.745,47,73.6,trailingTP
55,68.0,56,67.82,trailingTP
65,66.8,68,70.46,sellSignal
77,72.805,78,73.08,trailingTP
83,75.335,84,76.995,trailingTP
89,79.47,90,77.91,sellSignal
96,80.115,97,79.195,sellSignal
99,81.505,100,83.28,trailingTP
112,90.57,113,88.12,sellSignal
114,91.98,115,88.99,sellSignal
118,90.18,119,90.375,trailingTP
133,93.16,134,92.92,trailingTP
150,111.79,151,110.04,sellSignal
152,114.06,153,115.315,trailingTP
158,113.85,159,112.485,trailingTP
166,115.275,167,113.21,trailingTP
170,120.79,171,119.6,trailingTP
175,112.54,176,113.595,trailingTP
196,111.04,197,114.28,trailingTP
210,127.03,211,127.12,trailingTP
