entry_idx,entry_price,exit_idx,exit_price,reason
12,164.95,13,165.745,trailingTP
32,171.51,33,171.52,trailingTP
49,165.565,50,165.78,trailingTP
60,168.85,61,169.15,trailingTP
97,172.105,98,171.7,trailingTP
120,177.46,121,178.995,trailingTP
133,175.82,134,173.28,trailingTP
143,171.66,144,171.5,trailingTP
153,169.04,154,167.01,trailingTP
182,169.84,183,170.995,trailingTP
191,170.74,192,169.61,trailingTP
210,166.1,211,168.075,trailingTP
222,164.475,223,165.565,trailingTP
254,173.73,255,173.66,trailingTP
272,177.82,273,177.0,trailingTP
278,177.94,279,177.96,trailingTP
293,183.22,294,185.74,trailingTP
308,182.01,309,183.53,trailingTP
328,185.99,329,188.425,trailingTP
343,179.44,344,180.67,trailingTP
355,179.685,356,179.95,trailingTP
375,174.56,376,175.93,trailingTP
383,175.59,384,175.99,trailingTP
401,168.725,402,169.53,trailingTP
419,167.92,420,165.04,sellSignal
433,165.37,434,167.98,trailingTP
461,170.705,462,171.89,trailingTP
481,173.62,482,174.14,trailingTP
508,186.91,509,186.395,trailingTP
516,188.56,517,188.09,trailingTP
535,189.48,536,191.14,trailingTP
561,200.96,562,200.85,trailingTP
571,199.01,572,188.725,trailingTP
584,189.665,585,189.44,trailingTP
591,191.41,592,187.245,trailingTP
601,189.71,602,189.66,trailingTP
615,184.63,616,183.88,trailingTP
628,186.72,629,182.0,sellSignal
648,176.1,649,175.11,trailingTP
656,171.24,657,172.25,trailingTP
671,179.125,672,181.63,trailingTP
679,184.99,680,186.635,trailingTP
