entry_idx,entry_price,exit_idx,exit_price,reason
1,1.035,2,1.025,trailingTP
7,1.09,8,1.05,trailingTP
21,1.07,22,1.055,trailingTP
48,1.03,49,1.03,trailingTP
65,1.045,66,1.045,trailingTP
80,1.025,81,1.03,trailingTP
96,1.03,97,1.04,trailingTP
103,1.04,104,1.025,sellSignal
113,0.9237,114,0.9318,trailingTP
118,0.939,119,0.9369,trailingTP
121,0.9918,122,0.98,trailingTP
127,0.9599,128,0.9304,trailingTP
149,1.2,150,1.19,trailingTP
159,1.33,160,1.425,trailingTP
166,1.39,167,1.275,sellSignal
177,1.335,178,1.39,trailingTP
199,1.62,200,1.59,trailingTP
205,1.585,206,1.58,trailingTP
223,1.53,224,1.5,trailingTP
235,1.715,236,1.715,trailingTP
251,1.785,252,1.78,trailingTP
275,2.205,276,2.23,trailingTP
290,2.32,291,2.195,trailingTP
314,2.475,315,2.42,trailingTP
328,2.66,329,2.765,trailingTP
356,3.22,357,3.37,trailingTP
373,3.295,374,3.265,trailingTP
402,2.885,403,2.935,trailingTP
426,2.865,427,2.72,sellSignal
431,2.9,432,2.825,trailingTP
436,2.935,437,2.825,trailingTP
447,3.22,448,3.175,trailingTP
452,3.205,453,3.27,trailingTP
476,3.4,477,3.455,trailingTP
507,3.38,508,3.345,trailingTP
530,3.38,531,3.395,trailingTP
548,3.33,549,3.295,trailingTP
559,3.27,560,3.37,trailingTP
567,3.32,568,3.405,trailingTP
593,5.16,594,4.935,trailingTP
612,5.39,613,5.62,trailingTP
646,6.705,647,6.715,trailingTP
659,6.74,660,6.58,trailingTP
670,7.47,671,7.065,trailingTP
687,6.175,688,6.06,trailingTP
700,5.94,701,6.075,trailingTP
