entry_idx,entry_price,exit_idx,exit_price,reason
7,394.0,8,393.87,trailingTP
42,406.08,43,406.005,trailingTP
49,405.79,50,408.03,trailingTP
70,416.34,71,415.485,trailingTP
79,415.73,80,416.38,trailingTP
118,430.15,119,430.11,trailingTP
140,432.73,141,435.23,trailingTP
168,420.55,169,419.27,trailingTP
182,411.92,183,417.09,trailingTP
201,416.68,202,417.53,trailingTP
215,412.02,216,412.01,trailingTP
226,418.92,227,420.06,trailingTP
237,417.85,238,422.0,trailingTP
258,431.23,259,431.19,trailingTP
279,419.12,280,415.1,trailingTP
293,415.03,294,415.805,trailingTP
322,422.3,323,423.26,trailingTP
392,474.9,393,473.82,trailingTP
413,469.97,414,471.88,trailingTP
462,495.24,463,497.73,trailingTP
476,507.06,477,506.09,trailingTP
483,499.445,484,496.685,trailingTP
523,533.765,524,531.43,trailingTP
539,517.74,540,517.42,trailingTP
559,527.19,560,523.065,trailingTP
602,561.56,603,562.78,trailingTP
621,564.78,622,563.17,trailingTP
637,578.81,638,579.165,trailingTP
653,557.31,654,555.84,trailingTP
668,548.58,669,547.53,trailingTP
688,553.79,689,551.015,trailingTP
706,566.74,707,566.57,trailingTP
