entry_idx,entry_price,exit_idx,exit_price,reason
2,73.845,3,73.97,trailingTP
12,72.53,13,71.97,trailingTP
29,71.64,30,71.96,trailingTP
82,78.3,83,77.9,trailingTP
103,79.7,104,79.595,trailingTP
111,79.155,112,79.51,trailingTP
140,73.72,141,73.595,trailingTP
154,76.76,155,76.93,trailingTP
168,77.19,169,77.66,trailingTP
196,76.68,197,76.63,trailingTP
209,75.59,210,74.83,trailingTP
232,71.12,233,70.83,trailingTP
252,76.0,253,76.85,trailingTP
266,76.43,267,78.24,trailingTP
286,75.425,287,76.415,trailingTP
309,76.63,310,76.91,trailingTP
331,80.98,332,81.04,trailingTP
344,79.87,345,80.78,trailingTP
362,81.62,363,81.585,trailingTP
385,86.25,386,86.845,trailingTP
401,85.59,402,85.83,trailingTP
433,84.32,434,83.47,trailingTP
449,87.86,450,87.77,trailingTP
463,87.79,464,87.16,trailingTP
470,87.605,471,87.125,trailingTP
484,93.42,485,91.3,trailingTP
492,92.68,493,93.62,trailingTP
506,94.785,507,92.35,trailingTP
539,83.185,540,83.55,trailingTP
560,86.61,561,86.64,trailingTP
623,91.74,624,92.2,trailingTP
674,86.19,675,85.46,trailingTP
696,81.885,697,82.085,trailingTP
