entry_idx,entry_price,exit_idx,exit_price,reason
2,9.3,3,9.335,trailingTP
23,9.005,24,8.935,trailingTP
61,9.185,62,9.18,trailingTP
103,9.325,104,9.285,trailingTP
111,9.11,112,9.02,trailingTP
135,8.77,136,8.7,trailingTP
140,9.11,141,9.075,trailingTP
179,11.63,180,11.69,trailingTP
214,11.745,215,11.81,trailingTP
230,11.45,231,11.525,trailingTP
323,14.66,324,14.53,trailingTP
369,16.24,370,16.12,trailingTP
400,17.95,401,17.875,trailingTP
422,18.9,423,18.78,trailingTP
441,18.39,442,18.795,trailingTP
450,19.46,451,19.44,trailingTP
464,19.545,465,20.245,trailingTP
478,20.135,479,19.87,trailingTP
485,20.96,486,21.0,trailingTP
520,21.64,521,22.145,trailingTP
540,18.975,541,19.46,trailingTP
562,17.83,563,17.88,trailingTP
612,14.82,613,14.49,trailingTP
624,14.63,625,14.69,trailingTP
640,15.21,641,15.25,trailingTP
677,15.07,678,14.69,trailingTP
698,14.5,699,14.525,trailingTP
