entry_idx,entry_price,exit_idx,exit_price,reason
4,315.57,5,317.51,trailingTP
11,314.925,12,313.945,trailingTP
16,318.955,17,316.755,trailingTP
29,319.75,30,319.57,trailingTP
39,322.305,40,322.9,trailingTP
63,322.075,64,323.365,trailingTP
84,324.08,86,332.17,trailingTP
102,327.27,103,325.73,trailingTP
120,337.52,121,339.255,trailingTP
136,340.19,137,340.87,trailingTP
163,342.94,164,337.82,trailingTP
184,339.48,185,337.965,trailingTP
197,329.25,198,332.45,trailingTP
230,312.5,231,314.165,trailingTP
240,315.955,241,314.01,trailingTP
246,316.83,247,312.04,trailingTP
254,314.79,255,314.68,trailingTP
286,305.16,287,307.23,trailingTP
316,303.765,317,297.495,sellSignal
323,313.58,324,316.455,trailingTP
340,322.09,341,321.905,trailingTP
358,325.82,359,324.58,trailingTP
365,322.425,366,322.48,trailingTP
376,327.55,377,329.135,trailingTP
396,343.31,397,340.62,trailingTP
407,331.46,408,327.57,trailingTP
428,334.04,429,338.08,trailingTP
440,352.775,441,357.66,trailingTP
456,369.325,457,363.985,trailingTP
463,372.32,464,365.23,trailingTP
484,384.11,485,379.83,trailingTP
493,385.45,494,391.415,trailingTP
505,408.225,506,404.46,trailingTP
540,356.21,541,356.38,trailingTP
564,389.24,565,385.25,trailingTP
589,383.24,590,382.43,trailingTP
606,367.31,607,367.59,trailingTP
620,344.7,621,349.12,trailingTP
652,344.05,653,351.08,trailingTP
669,343.475,670,341.58,trailingTP
695,348.875,696,348.955,trailingTP
