entry_idx,entry_price,exit_idx,exit_price,reason
5,18.365,6,18.38,trailingTP
19,18.81,20,18.495,trailingTP
56,19.98,57,19.73,trailingTP
97,22.825,98,22.33,trailingTP
132,21.185,133,20.48,sellSignal
135,20.985,136,20.8,trailingTP
147,20.865,148,20.47,trailingTP
164,21.97,165,22.26,trailingTP
182,23.17,183,23.03,trailingTP
200,23.545,201,23.62,trailingTP
236,21.99,237,21.965,trailingTP
245,22.415,246,22.38,trailingTP
260,22.47,261,22.42,trailingTP
285,21.68,286,21.7,trailingTP
301,22.54,302,21.895,trailingTP
315,22.48,316,21.9,trailingTP
322,22.245,323,22.76,trailingTP
330,23.11,331,23.5,trailingTP
361,26.425,362,26.08,trailingTP
384,27.34,385,27.625,trailingTP
400,26.39,401,26.3,trailingTP
427,29.89,428,29.82,trailingTP
434,29.865,435,29.0,sellSignal
439,29.66,440,29.825,trailingTP
448,30.65,449,30.145,trailingTP
455,30.9,456,30.455,trailingTP
462,30.32,463,31.11,trailingTP
483,31.76,484,31.68,trailingTP
493,32.1,494,32.33,trailingTP
510,32.49,511,32.165,trailingTP
539,30.605,540,30.45,trailingTP
577,30.27,578,30.25,trailingTP
588,30.535,589,29.815,trailingTP
609,29.35,610,28.655,trailingTP
637,28.76,638,28.92,trailingTP
679,28.51,680,28.23,trailingTP
688,26.775,689,26.77,trailingTP
