entry_idx,entry_price,exit_idx,exit_price,reason
19,79.7,20,79.37,trailingTP
36,78.385,37,79.765,trailingTP
73,85.55,74,85.63,trailingTP
84,86.12,85,86.44,trailingTP
121,92.445,122,92.46,trailingTP
126,95.225,127,94.415,trailingTP
140,90.18,141,90.915,trailingTP
154,92.72,155,92.49,trailingTP
183,94.79,184,95.24,trailingTP
201,90.71,202,91.45,trailingTP
214,91.22,215,91.79,trailingTP
230,86.69,231,86.645,trailingTP
259,92.16,260,93.11,trailingTP
266,94.775,267,96.095,trailingTP
287,94.105,288,93.985,trailingTP
300,116.83,301,115.7,trailingTP
343,133.82,344,135.775,trailingTP
354,137.35,355,136.52,trailingTP
363,136.48,364,138.275,trailingTP
381,138.76,382,138.36,trailingTP
397,139.14,398,138.45,trailingTP
401,136.76,402,136.31,trailingTP
413,145.76,414,145.87,trailingTP
438,153.0,439,153.13,trailingTP
448,154.725,449,156.98,trailingTP
461,151.35,462,154.13,trailingTP
483,162.96,484,162.18,trailingTP
491,164.18,492,165.53,trailingTP
505,174.96,506,172.955,trailingTP
518,176.46,519,176.03,trailingTP
532,172.9,533,165.57,sellSignal
538,164.635,539,170.555,trailingTP
587,189.97,588,191.39,trailingTP
602,192.7,603,193.82,trailingTP
620,198.73,621,201.04,trailingTP
637,209.275,638,208.87,trailingTP
672,191.245,673,189.65,trailingTP
692,178.19,693,190.8,trailingTP
