entry_idx,entry_price,exit_idx,exit_price,reason
8,11.51,9,11.83,trailingTP
40,13.06,41,13.22,trailingTP
56,12.47,57,12.505,trailingTP
78,12.78,79,12.92,trailingTP
92,12.825,93,12.85,trailingTP
104,12.76,105,12.63,trailingTP
118,12.17,119,11.95,trailingTP
131,11.86,132,11.825,trailingTP
144,11.65,145,11.455,trailingTP
171,10.83,172,10.78,trailingTP
177,10.85,178,10.92,trailingTP
188,10.81,189,10.22,sellSignal
193,10.22,194,10.19,trailingTP
205,10.06,206,10.135,trailingTP
226,9.73,227,9.96,trailingTP
238,9.915,239,10.0,trailingTP
256,9.345,257,9.445,trailingTP
266,9.345,267,9.33,trailingTP
288,9.62,289,9.6,trailingTP
312,9.56,313,9.44,trailingTP
317,9.79,318,9.57,trailingTP
340,9.26,341,9.28,trailingTP
347,9.25,348,9.28,trailingTP
361,9.4,362,9.6,trailingTP
395,10.285,396,10.28,trailingTP
434,13.555,435,13.74,trailingTP
445,14.435,446,14.61,trailingTP
455,14.535,456,14.375,trailingTP
464,13.205,465,13.495,trailingTP
484,14.96,485,14.865,trailingTP
492,14.92,493,14.53,trailingTP
507,16.75,508,16.43,trailingTP
521,18.08,522,17.945,trailingTP
554,20.46,555,20.59,trailingTP
586,21.77,587,21.86,trailingTP
613,17.575,614,17.69,trailingTP
634,20.5,635,20.6,trailingTP
665,18.57,666,18.42,trailingTP
675,17.695,676,17.17,trailingTP
683,16.88,684,16.86,trailingTP
703,14.965,704,15.43,trailingTP
727,13.335,728,12.925,trailingTP
736,11.705,737,11.435,trailingTP
755,11.02,756,10.785,trailingTP
765,10.87,766,10.77,trailingTP
781,10.23,782,10.63,trailingTP
793,11.44,794,11.49,trailingTP
