entry_idx,entry_price,exit_idx,exit_price,reason
7,157.14,8,153.16,trailingTP
29,159.8,30,160.62,trailingTP
61,161.99,62,162.83,trailingTP
71,160.88,72,162.58,trailingTP
84,162.87,85,165.24,trailingTP
101,167.74,102,168.9,trailingTP
140,201.91,141,201.78,trailingTP
160,198.74,161,203.39,trailingTP
182,208.325,183,208.975,trailingTP
228,181.38,229,180.32,trailingTP
284,196.21,285,197.96,trailingTP
323,250.295,324,247.075,trailingTP
344,246.14,345,248.31,trailingTP
363,247.745,364,250.72,trailingTP
377,253.03,378,251.16,trailingTP
401,246.21,402,244.65,trailingTP
413,249.71,414,249.02,trailingTP
428,246.36,429,249.19,trailingTP
448,239.85,449,238.79,trailingTP
462,246.56,463,248.61,trailingTP
483,264.24,484,262.29,trailingTP
494,254.285,495,250.405,trailingTP
533,276.515,534,270.69,trailingTP
568,340.0,569,342.17,trailingTP
594,345.94,595,349.04,trailingTP
603,350.915,604,356.48,trailingTP
622,321.41,623,322.19,trailingTP
652,305.24,653,308.3,trailingTP
673,323.325,674,317.15,trailingTP
694,301.43,695,307.49,trailingTP
