entry_idx,entry_price,exit_idx,exit_price,reason
7,329.73,8,330.12,trailingTP
39,339.91,40,339.94,trailingTP
62,348.21,63,348.165,trailingTP
77,349.03,78,346.93,trailingTP
120,367.755,121,366.805,trailingTP
128,368.3,129,369.52,trailingTP
140,358.425,141,360.42,trailingTP
155,378.7,156,382.02,trailingTP
168,387.2,169,389.95,trailingTP
183,393.54,184,394.1,trailingTP
199,404.58,200,404.89,trailingTP
213,401.25,214,401.94,trailingTP
237,404.415,238,404.77,trailingTP
253,399.07,254,397.82,trailingTP
270,402.19,271,399.3,sellSignal
275,397.815,276,396.97,trailingTP
282,394.865,283,395.1,trailingTP
292,393.96,293,396.095,trailingTP
304,400.48,305,399.72,trailingTP
319,395.11,320,397.675,trailingTP
339,412.34,340,410.48,sellSignal
342,413.305,343,413.49,trailingTP
351,413.94,352,414.21,trailingTP
362,416.56,363,422.21,trailingTP
379,424.18,380,425.12,trailingTP
404,419.42,405,417.53,trailingTP
416,419.98,417,419.54,trailingTP
432,431.21,433,428.225,trailingTP
448,437.51,449,438.53,trailingTP
462,436.65,463,436.74,trailingTP
483,417.205,484,414.87,trailingTP
489,412.98,490,415.31,trailingTP
516,413.76,517,415.695,trailingTP
537,414.73,538,415.18,trailingTP
557,421.13,558,420.35,trailingTP
565,429.39,566,433.96,trailingTP
580,443.495,581,440.31,trailingTP
588,440.86,589,439.83,trailingTP
600,432.69,601,432.32,trailingTP
618,476.56,619,479.565,trailingTP
635,482.595,636,482.06,trailingTP
664,460.26,665,466.655,trailingTP
686,475.44,687,474.72,trailingTP
