entry_idx,entry_price,exit_idx,exit_price,reason
8,32.18,9,32.245,trailingTP
29,31.97,30,32.0,trailingTP
77,30.88,78,30.815,trailingTP
105,31.915,106,31.98,trailingTP
129,31.825,130,31.69,trailingTP
147,31.035,148,30.925,trailingTP
203,29.84,204,29.82,trailingTP
226,29.66,227,29.71,trailingTP
259,30.795,260,30.88,trailingTP
298,31.43,299,31.405,trailingTP
315,30.88,316,30.96,trailingTP
336,31.37,337,31.38,trailingTP
343,31.47,344,31.915,trailingTP
380,32.34,381,32.155,trailingTP
392,32.635,393,32.56,trailingTP
407,33.005,408,33.015,trailingTP
434,31.94,435,31.685,trailingTP
443,31.915,444,31.89,trailingTP
468,32.63,469,32.965,trailingTP
518,30.3,519,30.145,trailingTP
532,30.23,533,30.12,trailingTP
553,31.48,554,31.485,trailingTP
567,31.49,568,31.875,trailingTP
577,32.1,578,32.075,trailingTP
602,31.69,603,31.76,trailingTP
622,31.65,623,31.565,trailingTP
644,32.615,645,32.565,trailingTP
650,32.54,651,32.475,trailingTP
667,33.74,668,33.925,trailingTP
678,34.0,679,34.76,trailingTP
704,33.18,705,33.165,trailingTP
