entry_idx,entry_price,exit_idx,exit_price,reason
11,9.97,12,9.715,trailingTP
42,11.44,43,10.87,sellSignal
47,11.21,48,11.49,trailingTP
78,12.62,79,12.52,trailingTP
105,12.23,106,12.27,trailingTP
119,12.04,120,11.87,sellSignal
135,11.565,136,11.49,trailingTP
142,11.57,143,11.57,trailingTP
167,10.875,168,10.94,trailingTP
203,11.84,204,11.665,trailingTP
226,11.8,227,11.77,trailingTP
239,12.26,240,12.075,trailingTP
253,12.15,254,12.1,trailingTP
279,12.09,280,12.19,trailingTP
318,12.875,319,12.775,trailingTP
350,12.7,351,12.73,trailingTP
368,12.6,369,12.525,trailingTP
379,12.08,380,12.19,trailingTP
404,13.35,405,13.3,trailingTP
426,14.36,427,14.015,sellSignal
435,14.37,436,14.4,trailingTP
464,15.715,465,15.685,trailingTP
497,15.8,498,16.04,trailingTP
511,16.45,512,16.35,trailingTP
525,16.73,526,16.36,trailingTP
543,14.9,544,14.9,trailingTP
587,16.31,588,16.33,trailingTP
610,14.59,611,14.52,trailingTP
621,14.475,622,14.97,trailingTP
634,33.18,635,33.14,trailingTP
673,35.54,674,34.83,trailingTP
679,34.92,680,36.22,trailingTP
689,36.21,690,36.065,trailingTP
