entry_idx,entry_price,exit_idx,exit_price,reason
7,90.57,8,89.275,trailingTP
37,94.03,38,94.71,trailingTP
55,97.85,56,99.87,trailingTP
84,99.32,85,100.495,trailingTP
103,99.77,104,100.12,trailingTP
126,111.23,127,109.495,trailingTP
140,105.68,141,105.15,trailingTP
154,107.255,155,106.11,trailingTP
183,116.02,184,116.62,trailingTP
201,90.46,202,91.79,trailingTP
236,87.2,237,86.62,trailingTP
246,91.545,247,91.12,trailingTP
252,91.91,253,93.05,trailingTP
266,92.56,267,94.05,trailingTP
286,87.76,287,88.09,trailingTP
322,99.22,323,100.26,trailingTP
343,103.84,344,102.99,trailingTP
364,102.945,365,103.355,trailingTP
403,107.48,404,106.375,trailingTP
415,107.995,416,109.13,trailingTP
428,107.76,429,108.88,trailingTP
450,116.51,451,113.87,sellSignal
454,117.14,455,116.39,trailingTP
464,117.24,465,114.35,trailingTP
485,115.925,486,115.02,trailingTP
508,115.0,509,113.66,trailingTP
521,122.895,522,122.705,trailingTP
542,119.43,543,119.1,trailingTP
589,131.54,590,131.95,trailingTP
605,133.835,606,135.51,trailingTP
612,155.01,613,155.2,trailingTP
624,154.28,625,154.51,trailingTP
654,144.5,655,144.27,trailingTP
675,146.07,676,144.75,trailingTP
694,141.015,695,139.46,trailingTP
712,151.65,713,151.73,trailingTP
