entry_idx,entry_price,exit_idx,exit_price,reason
14,359.46,15,358.98,trailingTP
35,390.81,36,385.83,trailingTP
53,390.71,54,397.4,trailingTP
76,430.26,77,433.47,trailingTP
103,401.58,104,396.445,trailingTP
128,379.06,129,383.06,trailingTP
135,383.72,136,380.505,trailingTP
169,303.5,170,301.58,trailingTP
186,310.62,187,324.06,trailingTP
195,327.05,196,315.61,sellSignal
203,338.15,204,327.8,trailingTP
226,322.91,227,322.46,trailingTP
241,302.56,242,303.67,trailingTP
272,308.48,273,306.86,trailingTP
296,305.64,297,308.04,trailingTP
324,302.205,325,304.55,trailingTP
345,319.735,346,325.53,trailingTP
381,328.04,382,340.98,trailingTP
410,325.82,411,323.54,trailingTP
418,317.22,419,313.89,trailingTP
427,310.82,428,312.645,trailingTP
467,389.13,468,384.685,trailingTP
482,379.69,483,381.9,trailingTP
539,333.71,540,336.04,trailingTP
562,320.45,563,322.09,trailingTP
571,345.0,572,344.87,trailingTP
587,364.43,588,361.27,trailingTP
608,348.49,609,358.75,trailingTP
630,315.11,631,315.31,trailingTP
650,300.37,651,305.445,trailingTP
671,310.32,672,309.96,trailingTP
690,291.0,691,289.23,trailingTP
705,268.23,706,268.27,trailingTP
717,257.29,718,259.63,trailingTP
734,245.62,735,251.4,trailingTP
749,254.07,750,255.12,trailingTP
